id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin
14,globant,,2021-03-03,"'As the old adage goes, “everything is a triangle”...\n\nWell, I might have stretched that a bit, but for Gaming Graphics developers that made-up adage holds water!\n\nAnd why do we indeed use triangles as our number one rendering polygon? Ah, therein lies the question! Check out this quick explanation by jrkirby at Steemit: https://bit.ly/3qgCn6q\n\n#DevTips #Gaming #Rendering #Rasterization #ThirstyForKnowledge\n\nHope it sheds some light!\n\nAle Vidal\nTech Director\nGaming Studio\n#GlobantAmbassador\n#GamingStudioProud'",67,0,0,"#DevTips, #Gaming, #Rendering, #Rasterization, #ThirstyForKnowledge\n\nHope, #GlobantAmbassador\n#GamingStudioProud'",linkedin
15,globant,,2021-02-28,'¿Por qué escalar es importante para tu negocio? \nTe compartimos las claves para que tu StartUp se convierta en una empresa global: https://bit.ly/3r5tHB3#Startups #Tech #Innovation #Businessmodels #Workculture #Organizations #Futureofwork',115,0,0,"#Startups, #Tech, #Innovation, #Businessmodels, #Workculture, #Organizations, #Futureofwork'",linkedin
16,globant,,2021-03-04,"'Do you know how to overcome the new reality? Technology is here to stay and we want you to be prepared and to fully develop your tech potential. At Globant, we want you to know the 2021 Tech Trends to upgrade your company’s equipment and improve performance.If you want to know what our expert Nicolas Avila — Chief Technology Officer at Globant —  has to say about it, you can click here: https://bit.ly/2O1M6Az#TechTrends #Innovation #Technology #Business'",81,0,1657,"#TechTrends, #Innovation, #Technology, #Business'",linkedin
17,globant,,2021-02-19,"'Game development can be such a monumental undertaking. Yet, when carefully planned and executed, you are destined to succeed! But you don’t have to believe me, just ask the guys at the Santa Monica Studio, responsible for releasing one of the best PlayStation games ever: GOD OF WAR. Let’s watch together (and learn) their colossal work on Raising Kratos: https://bit.ly/3u9LlFA#Gaming #ThirstyForKnowledgeHope you enjoy!Ale VidalTech DirectorGaming Studio#GlobantAmbassador#GamingStudioProud'",128,1,0,"#Gaming, #ThirstyForKnowledgeHope, #GlobantAmbassador#GamingStudioProud'",linkedin
18,globant,,2021-03-01,"'As we begin 2021, a lot of the technology trends that will continue to drive businesses forward will be those that are focused on consistently delivering exceptional customer experiences.In this report, our experts will explore some of the key differentiators for long-term success.👉Download the full report: https://bit.ly/3b3BUA3Agustin Huerta; Ritesh Menon; Nicolas Avila; Sean Kennedy; Sebastian Arriada;#TechTrends #Innovation #Technology #Business'",166,0,3124,"#TechTrends, #Innovation, #Technology, #Business'",linkedin
19,globant,,2021-02-26,"'Quer crescer profissionalmente e desenvolver sua carreira na Globant? \n\nQueremos conhecer pessoas talentosas e com muita vontade de aprender, o Globant Talent Day é um processo seletivo com diversos circuitos em que são avaliadas diferentes áreas, como habilidades técnicas e nível de inglês.\n\nVocê está pronto para chegar à final e ter a oportunidade de se juntar ao nosso time?\n\nINSCREVER-SE! : https://bit.ly/2Pg2Owl\n\n#TalentDayBrasil #Jobs #GlobantBrasil'",29,1,0,"#TalentDayBrasil, #Jobs, #GlobantBrasil'",linkedin
20,globant,,2021-02-27,"'As part of our #BeKind talks, Our Chief Business Officer North America, Fernando Matzkin, talked to Michele Lezama CEO of National Action Council for Minorities in Engineering (NACME). Take a look at this webinar about ""Engineering a diverse workforce"". https://bit.ly/3dYwfgR#Diversity #BlackHistoryMonth'",52,1,0,"#BeKind, #Diversity, #BlackHistoryMonth'",linkedin
21,globant,,2021-03-01,"'We would like to present Ignacio Marseillan, the author of the report ""Who is leading the leaders?"" 🔎 To read more about his report, click here 🔗 http://bit.ly/3upZGxV#Coaching #Leaders #Leadership'",22,0,0,"#Coaching, #Leaders, #Leadership'",linkedin
22,globant,,2021-02-26,"'“A one-and-a-half-year-old baby sleeps in his crib. I watch him as I write this. The child calls me “mom”, but until last month I didn’t know of his existence, nor he of mine.”Discover the moving adoption story of the Glober Natalia Biasi. She shares the joys and obstacles she found in her path towards becoming a mother and discusses why the definition of motherhood should encompass much more both in a general and in a legal way, as a process of love and growth as a family.Read the whole story here: https://bit.ly/37R196I#Motherhood #Adoption #Maternity #LifeJourney'",189,10,0,"#Motherhood, #Adoption, #Maternity, #LifeJourney'",linkedin
23,globant,,2021-02-03,'Have Fun es un pilar fundamental en #Globant para mantener nuestro espíritu innovador y el trabajo en equipo. ¡Gracias a Axel Abulafia por hacernos recordar este viaje increíble! #TheEpicalJourney',186,0,0,"#Globant, #TheEpicalJourney'",linkedin
24,globant,,2021-02-19,"'Improve the productivity of your development team withAugmented Coding new Code Autocompletion feature, which allows developers to write lines of code faster. Learn how our #AI tool works here 👉 https://bit.ly/3u6sfQK'",67,2,0,#AI,linkedin
25,globant,,2021-02-19,'💡 Today is a great day to share effective communication tips StarMeUp #FocusOnPeople #EmpowerEmployeeExperience #EffectiveCommunication #HumanResources #HR #Feedback #Leadership #WomenInTech #Tips',96,3,0,"#FocusOnPeople, #EmpowerEmployeeExperience, #EffectiveCommunication, #HumanResources, #HR, #Feedback, #Leadership, #WomenInTech, #Tips'",linkedin
26,globant,,2021-02-03,"'Transform how to write code with Globant’s newest tool, Augmented Coding.  🚀👉 https://bit.ly/3rsB19U #artificialintelligence #softwaredevelopment #programming #coding'",82,1,0,"#artificialintelligence, #softwaredevelopment, #programming, #coding'",linkedin
27,globant,,2021-02-26,"'We believe that companies must play an active role in the fight to create a more equitable and inclusive society. In this #BlackHistoryMonth, our aim is to recognize the contributions of individuals with African and Caribbean heritage. Diversity and inclusion are key to #Globant. Now more than ever it´s important to support our black community. Read more about what we are doing to raise awareness regarding race!https://bit.ly/3bFgUPf'",85,1,0,"#BlackHistoryMonth,, #Globant.",linkedin
28,globant,,2021-03-01,"'Our co-founder and CTO, Guibert Englebienne, recently sat down with Forbes to discuss our joint research with Forrester on how organizations can become adaptive and agile as the future of work evolves. Read more on Forbes here: https://bit.ly/3kysWy1#FutureOfWork #Agile'",12,0,0,"#FutureOfWork, #Agile'",linkedin
29,globant,,2021-02-26,"'According to the National Science Foundation (NSF) 2019 report, underrepresented minority students received 22% of all Science and Engineering bachelor’s degrees in the United States. As part of its #BeKind initiatives, #Globant has appointed Fernando Matzkin to join the board at the National Action Council for Minorities in Engineering (NACME) to help build greater diversity in the technology field. Read more about our commitment here! 👇https://bit.ly/3pVx8ZR'",83,2,0,"#BeKind, #Globant",linkedin
30,globant,,2021-02-26,"'Who is leading the leaders? 💡 There are certain aspects that board members and managers need to consider when deciding what is best for their company and where digital coaching can play a key role. 🔎To learn more, check out this report by Ignacio Marseillan —Managing Director at Globant: 🔗 https://bit.ly/2NSMa5c #Coaching #Leaders #Leadership'",59,0,0,"#Coaching, #Leaders, #Leadership'",linkedin
31,globant,,2021-02-26,"'Conoce la importancia de desarrollar la capacidad de adaptación y reacción a los cambios. En este episodio de nuestro podcast #BeOneOfAKind, conducido por Patricia Pomies, Chief Delivery & People Officer de Globant, te contamos cómo Sandra Sieber, Experta en #TransformaciónDigital y docente de IESE Business School - University of Navarra, trabaja con diferentes ejecutivos para fomentar la agilidad en estos tiempos de la nueva cultura digital. Te invitamos a escucharla ¡No te lo pierdas!  👉  https://bit.ly/2NYb5o6#Podcast #BeKind #Diversidad #Inclusión'",61,0,2007,"#BeOneOfAKind,, #TransformaciónDigital, #Podcast, #BeKind, #Diversidad, #Inclusión'",linkedin
32,globant,,2021-02-26,'These are just some of the challenges and realities that a developer faces today. Are you ready to step into the future of software development? Visit https://bit.ly/2ZCuehE and transform how you write code.Augmented Coding #developers #softwaredevelopment #developerlife',41,1,0,"#developers, #softwaredevelopment, #developerlife'",linkedin
33,globant,,2021-02-26,"'What brings Globant to the tech & #business ecosystem in the #UK? Stuart Deignan has joined our team as the Managing Director of the UK. We sat down with him to learn more about the unique experience he brings to #Globant, what the challenges are that he foresees in the UK market, and what differentiates Globant from other #tech companies in the region.Read the full interview here! https://bit.ly/3shMtpa#BusinessStrategy #StayRelevant #DigitalTransformation'",139,3,3598,"#business, #UK?, #Globant,, #tech, #BusinessStrategy, #StayRelevant, #DigitalTransformation'",linkedin
34,globant,,2021-02-19,"""How can we turn legacy into a competitive advantage? Michael Feathers, author of 'Working Effectively with Legacy Code’, answers that question for us.Watch the complete Webinar here: https://bit.ly/2LMUjr8 #digitaltransformation #legacycode #coding #stayrelevant #webinar""",92,0,0,"#digitaltransformation, #legacycode, #coding, #stayrelevant, #webinar""",linkedin
35,globant,,2021-02-26,"""You STILL haven’t checked out Jorge Rodriguez’ excellent math tutorial on game character movement? How come? Gaming math is hard? Nah, it’s just overrated! Don’t be afraid to check this excellent and forming Game Development math tutorial at https://bit.ly/2P09aj8. Remember: It's all about the vectors, dude!#DevTips #MathRules #ThirstyForKnowledgeCheers!Ale VidalTech DirectorGaming Studio#GlobantAmbassador""",41,1,0,"#DevTips, #MathRules, #ThirstyForKnowledgeCheers!Ale, #GlobantAmbassador""",linkedin
36,globant,,2021-02-26,"'4 reasons why project managers play a crucial role in their companies: attract and retain talented people in several ways. 🔎Read more about it in this blog post by David Appelbaum, Project Manager at Globant 👉 https://bit.ly/3aFoD0p #ProjectManager #HR #Talent #Company'",164,5,0,"#ProjectManager, #HR, #Talent, #Company'",linkedin
37,globant,,2021-02-12,"'At Globant we promote diversity and inclusion in the workplace, we want to hack the status quo and encourage more women to find in technology a space where they can grow professionally, their place in the world.On this #InternationalDayOfWomenAndGirlsInScience we want to share that in 2020 we have put in place a variety of training programs and initiatives with the community, inspiring and training over 1.000 women, with the objective of making them thrive in IT. Girls Programming Club, Laboratoria program, Empower Her, Code Your Future, Women in the Cloud with Plan Foundation, and other inspirational workshops are good examples.This year we will continue with our commitment. There’s still a long road ahead, let’s continue building a more diverse industry!Get to know more about our #WomenThatBuild program here http://bit.ly/3rLCM26'",373,5,0,"#InternationalDayOfWomenAndGirlsInScience, #WomenThatBuild",linkedin
38,globant,,2021-02-12,"'In 2020, not only did we train women in IT skills and knowledge, but we also inspired more than 15,000 women with the #WomenThatBuild Awards,  in which leaders were recognized for their careers in tech and their contribution to a more inclusive and diverse industry. Check out their stories: https://bit.ly/3aWD3s3'",135,0,0,#WomenThatBuild,linkedin
39,globant,,2021-02-26,"'How can #BusinessHacking unveil non-traditional ways to create new business value in #FinancialServices? Join the #webinar to discover market #trends and top #strategies for untapped new #businessopportunities, and participate in the live Q&A session!February 25, 3pm GMTMore info & registrations here! https://bit.ly/3dCN1lc'",76,0,0,"#BusinessHacking, #FinancialServices?, #webinar, #trends, #strategies, #businessopportunities,",linkedin
40,globant,,2021-02-03,"'In 2020, leaders realized that their incomplete digital transformation efforts hindered their ability to adapt to new circumstances.  🔎 Discover how leaders are rethinking the future of work to succeed in 2021. You can 👀 read more about Forrester ’s custom study commissioned by Globant here 👉 https://bit.ly/3ojECFX#DigitalBusiness #Report #Work #2021'",136,2,0,"#DigitalBusiness, #Report, #Work, #2021'",linkedin
41,globant,,2021-02-12,'¿Alguna vez escuchaste hablar del #Burnout laboral? Todo lo que necesitás saber lo escribió StarMeUp en este artículo: https://bit.ly/36WuPPv Promovamos una cultura organizacional saludable. #Work #HomeOffice #BuenasPrácticas #Healthy #CulturaOrganizacional',223,3,0,"#Burnout, #Work, #HomeOffice, #BuenasPrácticas, #Healthy, #CulturaOrganizacional'",linkedin
42,globant,,2021-02-12,"'Working in collaboration with our partner, IESE Business School - University of Navarra, today we had the honor of hosting an interactive workshop on ""Developing and Leveraging your Network"" with all the winners of the Globant Awards: #WomenThatBuild Edition. Thank you all for joining us and congratulations on being part of this recognition.At #Globant, we remain committed to contributing to the inclusion of more #WomenInSTEM.If you\'d like to join a strong community of women in #IT, click on the link! http://bit.ly/3a2tyIrSudha Bhamidipati Simmi Dhamija 💎AFREEN BANO★彡 Ana H. Graciela Rojas Andrea Campos Teresa Santana Natalie Gil Julissa Rodriguez Macarena Arribas Berckemeyer Fatima El baghdadi Ourag Patricia Benito de Mateo Rosanna Sibora Karen Santos Mariana Vasconcelos Carolina Sepúlveda Robles Katherine Vergara Rossy Anabel Alegria Figueroa  Sindey Carolina Bernal Aleena Taufiq Cecilia Flores Geraldine Wasser Karina Santo Daniela Vargas Nancy Anderson Bolton Sandra Castro Pinzón Patricia Pomies Martin Migoya'",249,9,0,"#WomenThatBuild, #Globant,, #WomenInSTEM.If, #IT,",linkedin
43,globant,,2021-02-12,"'Agile has become an overwhelmingly popular tool for project execution. Do you want to know why teams choose #Agile and how they tackle everyday challenges?To read more about this report by Gaurav Mevawala, Project Manager at Globant, click here: https://bit.ly/3aFD9UM'",137,0,0,#Agile,linkedin
44,globant,,2021-02-26,'¿Qué es #Clubhouse y cómo ha conseguido su éxito? negocios.tv entrevista a Federico Pienovi- Head of EMEA en Globant - para entender todos los detalles sobre esta nueva #redsocial. ¡No te lo pierdas! https://bit.ly/2NnC8Jz#RRSS #SocialMedia #TransformaciónDigital',30,0,0,"#Clubhouse, #redsocial., #RRSS, #SocialMedia, #TransformaciónDigital'",linkedin
45,globant,,2021-02-26,"'""La #tecnología digital es una de las herramientas más poderosas para poder hacer  frente al enorme desafío del #cambioclimático"". Así afirma Elena Morettini - Sustainable Business Studio Director de Globant - en esta tribuna para EFEverde noticias y periodismo medioambiental sobre la importancia de la #innovación tecnológica sostenible. https://bit.ly/3urjl0y#Sostenibilidad #EconomíaSostenible #Innovación #InnovaciónTecnológica'",164,0,0,"#tecnología, #cambioclimático""., #innovación, #Sostenibilidad, #EconomíaSostenible, #Innovación, #InnovaciónTecnológica'",linkedin
46,globant,,2021-02-03,"'Let’s commemorate #DataPrivacyDay!We join this call and underline that Globant’s new AI-powered solution, Augmented Coding complies with the highest security standards since the users’ data can be kept on the cloud as in other client’s installations, guaranteeing that the code and information remain protected and private in the preferred location.'",35,0,0,#DataPrivacyDay!We,linkedin
47,globant,,2021-01-04,"""In 2021 we’ll see the fast emergence of new products and services to meet people’s changing needs. Read more about emerging business models and more predictions for the next 12 months from Globant's top executives 👉 http://bit.ly/384gL6h #Predictions2021 #Innovation #future #Technology #Business Nelly Ortiz Sabina A. Schneider""",166,3,0,"#Predictions2021, #Innovation, #future, #Technology, #Business",linkedin
48,globant,,2021-02-03,"'“IDC’s research says 65% of global GDP will be digitalized by 2022, driving $6.8 trillion of IT spending from 2020 to 2023.“ We’re witnesses of the profound and systemic changes that happened during 2020. 💥 From Globant we want you to have a new whole perspective with predictions that could help you to overfly 🚀 this year. 🔎 If you want to know what experts have to say about it, click here 👉 http://bit.ly/384gL6h #Predictions2021 #Resilence'",62,1,0,"#Predictions2021, #Resilence'",linkedin
49,globant,,2021-02-03,"'Businesses will shift to hyper automation and adopt tools to dramatically accelerate software development. 💥 Are you ready? If you want to know what experts 👔 have to say about resilient organizations, check our latest report 👉 http://bit.ly/384gL6h#Predictions2021 #Technology #Hyperautomation #SoftwareDevelopment #BusinessTransformation'",65,0,0,"#Predictions2021, #Technology, #Hyperautomation, #SoftwareDevelopment, #BusinessTransformation'",linkedin
50,globant,,2021-02-12,"'Conoce la increíble trayectoria de Laura Barnator en nuestro Podcast Be One of a Kind conducido por Patricia Pomies, Chief Delivery & People Officer de #Globant.En este episodio descubre cómo Laura pasó de joven profesional a ser la primera mujer CEO de Unilever Argentina Además, la importancia de trabajar en equipos para enriquecerse a nivel personal y profesional y hallar soluciones innovadoras. Te invitamos a escuchar una voz diferente¡No te lo pierdas!  https://bit.ly/2LLH1v8#Podcast #BeOneOfAKind #BeKind #Diversidad #Inclusión #WomenThatBuild'",149,5,5115,"#Globant.En, #Podcast, #BeOneOfAKind, #BeKind, #Diversidad, #Inclusión, #WomenThatBuild'",linkedin
51,globant,,2021-01-04,"""Can we describe 2020 with the word “resilient”? If you want to know what our experts have to say about resilient organizations, you can download Globant's #Predictions2021 report 👉 http://bit.ly/384gL6h#Future #Technology #Business #Resilient Diego Maldonado Alvaro Pujals""",57,0,0,"#Predictions2021, #Future, #Technology, #Business, #Resilient",linkedin
52,globant,,2021-02-03,"'O Certified Tech Developer é um programa de formação da Globant, Mercado Livre e Digital House para dar acesso a este mundo de oportunidades que é a tecnologia. Você pode criar o próximo aplicativo, o próximo e-commerce e muito mais. O futuro é construído entre todos, precisamos de você ⚡💻. Saiba mais aqui e fique atento ao lançamento 👉  http://bit.ly/3oPCN39 Alexandre Thomaz, Fernando Yunes e Sebastian Mackinlay#CertfiedTechDeveloper #TheUltimateDegree'",9,0,0,"#CertfiedTechDeveloper, #TheUltimateDegree'",linkedin
53,globant,,2021-02-12,"'⚡ Nos vemos daqui a pouco! ⚡Já vamos começar o evento de lançamento do Certified Tech Developer 💻, o programa de formação desenvolvido por Mercado Livre e Globant em parceria com a Digital House.Ir para o evento ao vivo 👉 http://bit.ly/3tGc2la #CertfiedTechDeveloper #TheUltimateDegree'",30,1,1846,"#CertfiedTechDeveloper, #TheUltimateDegree'",linkedin
54,globant,,2021-02-03,"'Globant e Mercado Livre se unem para apresentar o Certified Tech Developer, um programa de formação desenhado e pensado junto à Digital House para a inserção laboral imediata de jovens da América Latina na indústria de tecnolgia.Você gostaria de fazer parte da revolução tecnológica na América Latina? Inscreva-se aqui:  https://bit.ly/36NvmDd #CertfiedTechDeveloper #TheUltimateDegree'",15,1,0,"#CertfiedTechDeveloper, #TheUltimateDegree'",linkedin
55,globant,,2021-02-26,"'We are proud of participating in funding to accelerate ELSA’s growth. This #AI app will use the funds to expand its operations in Latin America and build a scalable business-to-business platform, allowing companies and educational organizations to offer the app’s coaching services to employees or students. “ELSA is leading the way education can be improved with AI. We see a great potential in it, as it offers more tools to develop talent worldwide”. 👉You can read more about it here: https://bit.ly/2NYexPC ELSA, Corp #AI #App #ElsaGrowth'",231,1,0,"#AI, #AI, #App, #ElsaGrowth'",linkedin
56,globant,,2021-01-04,"'Powerful, holistic experiences will differentiate those businesses that survive and thrive from those that die. Do you want to know which ones they are?If you want to know what our experts have to say about it, you can click here 👉  http://bit.ly/384gL6h #Predictions2021 #Innovation #Future #Technology #Business #NewBusiness Ritesh Menon'",88,0,0,"#Predictions2021, #Innovation, #Future, #Technology, #Business, #NewBusiness",linkedin
57,globant,,2021-02-03,"'Nos unimos com o Mercado Livre para apresentar o Certified Tech Developer, um programa com metodologias ágeis com foco prático, desenhado e pensado junto com a Digital House para comprovar que é possível transformar a vida de milhares de jovens por meio da educação É sobre isso que vamos falar no próximo dia 9 de fevereiro, às 17 horas, no #TechTalks: falando sobre educação transformadora. O bate-papo contará com a participação de Edu Lyra (fundador e CEO do Instituto Gerando Falcões), Fernando Yunes (Líder do Mercado Livre no Brasil), Sebastian Mackinlay (CEO Digital House Brasil) e Alexandre Thomaz (Managing Director Globant Brasil). Além de compartilhar histórias de sucesso com você, vamos apresentar os detalhes do #CertifiedTechDeveloper, um programa de formação pensado e desenvolvido para promover a inserção profissional de jovens. Acesse >https://lnkd.in/ex4qB5r  #bolsadeestudos #carreirasdigitais #transformaçãodigital #carreira #digital #educação'",84,1,0,"#TechTalks:, #CertifiedTechDeveloper,, #bolsadeestudos, #carreirasdigitais, #transformaçãodigital, #carreira, #digital, #educação'",linkedin
58,globant,,2021-01-04,'💥 O que você espera para começar sua carreira na Globant? Últimos dias para se juntar ao nosso Talent Day! 💥#TalentDayBrasil #Brasil #PHP #IOS #Android #DigitalMarketing',17,0,0,"#TalentDayBrasil, #Brasil, #PHP, #IOS, #Android, #DigitalMarketing'",linkedin
59,globant,,2021-02-19,"'It is the moment to push beyond what has been done before to envision a new future in #FinancialServices.In this webinar, Lucas Juri - Director of #BusinessHacking studio at Globant - will explore how financial services organizations can accelerate their evolution and succeed in the ""new normal"". Join to discover market #trends and top strategies for untapped new #businessopportunities.February 25, 3pm GMTRegister here! https://bit.ly/3dhDOPj'",115,0,0,"#FinancialServices.In, #BusinessHacking, #trends, #businessopportunities.February",linkedin
60,globant,,2021-02-03,'We have launched our issue of #SustainableBusiness News!\n\nYour must read source of information and #insights about the new #greeneconomy! \n\nRead it & subscribe to stay informed! https://bit.ly/36GBv40\n\n#ClimateChange #ClimateRisk #Sustainability #Newsletter',76,0,0,"#SustainableBusiness, #insights, #greeneconomy!, #ClimateChange, #ClimateRisk, #Sustainability, #Newsletter'",linkedin
61,globant,,2021-02-19,"'6 enfoques que deberían tener las empresas B2B para impulsar los resultados comerciales en la era digital. Todo lo que necesitás saber para mejorar el CX está en este artículo de Basia Coulter, Business Hacking en Globant: https://bit.ly/3ajqBU8\n#CX #Business #Tips'",129,0,0,"#CX, #Business, #Tips'",linkedin
62,globant,,2021-01-04,'After 2020 everything has changed. Creating a high-performance work culture will require new skills and tools. Click here and check insights and ideas for long-term success 👉 http://bit.ly/384gL6h #Predictions2021 #Innovation #Future #Technology #Skills Emi Horcada',77,0,0,"#Predictions2021, #Innovation, #Future, #Technology, #Skills",linkedin
63,globant,,2021-01-04,"'¡Conoce nuestros eventos de la semana!Acá te compartimos el registro de cada uno ⬇️ CSGO: Desarmando la final, sin defuse kit: bit.ly/348ttQ3Inteligencia Artificial - Capítulo 3: bit.ly/2LsguSU Webinar Series “When AA Gets Serious”: https://bit.ly/36kANJV Workshop Google Data Studio:  https://bit.ly/2IaJmxI Lanzamiento alianza Globant y Laboratoria: https://bit.ly/37Du79g AgileNXT – India: https://lnkd.in/e75sziv ⚡¡Te esperamos!⚡#MLOPs #AI #CSGO #DataStudio'",35,0,0,"#MLOPs, #AI, #CSGO, #DataStudio'",linkedin
64,globant,,2020-12-05,"""Congratulations to Sindey bernal, Andrea CamposSandra Castro Pinzón & Vania Neves  for being the winners of the  #GlobantAwards #WomenThatBuild edition. You have inspired thousands of women and will hopefully inspire millions more! Thanks to everyone who made the #WomenThatBuild #GlobantAwards possible. This isn't just another award, all the women nominated are reshaping the way we see the #IT community. Their stories have to be shared so we can have a better and more diverse world. Thank you again, and remember to always #BeKind to each other!""",190,20,0,"#GlobantAwards, #WomenThatBuild, #WomenThatBuild, #GlobantAwards, #IT, #BeKind",linkedin
