id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,tipo,modelo,assunto,language
16,globant,,2020-11-18,With the launch of the Sustainable Business Studio we aim to help our clients create business legitimacy in today’s new green economy. We believe that we have a commitment to helping our clients reinvent themselves. 🙌 See more information 👉 https://bit.ly/3pCqwRc',36,2,0,,linkedin,negócios,RP,Sustainable Business,en
4,softexnacional,,2020-11-18,"Global Connection19/11https://lnkd.in/erMuHbgConheça a programação do dia 19/11, uma agenda focada em conexões com Portugal!Esperamos vocês nessa jornada de conhecimento e desenvolvimento. https://lnkd.in/erMuHbg'",7,0,0,,linkedin,,,,pt
5,softexnacional,,2020-11-18,"Global Connection18/11https://lnkd.in/erMuHbgConheça a programação do dia 18/11, uma agenda focada em conexões com Portugal!Esperamos vocês nessa jornada de conhecimento e desenvolvimento. https://lnkd.in/erMuHbg#Portugal #Colômbia #Canadá'",0,0,0,"#Portugal, #Colômbia, #Canadá'",linkedin,,,,pt
3,bairesdev,,2020-11-18,"We are looking for Shopify Developers to join us!• 6+ years of experience working with different technologies.• 5+ years of experience working with Shopify technology.• Advanced English level.If you are interested, please click here and apply: https://lnkd.in/drByfWh #JobSearch #Shopify'",21,0,0,"#JobSearch, #Shopify'",linkedin,employer branding,post,Abertura de Vagas,en
5,bairesdev,,2020-11-18,The future of retail is here. Discover the 6 trends that are reshaping the industry’s future and how can our developers revolutionize your business.https://lnkd.in/dXsJwqw',21,0,0,,linkedin,,,,en
8,bairesdev,,2020-11-18,"The pandemic has pushed all industries towards digital acceleration, and marketers everywhere have increasingly adopted new technologies to meet the demands of the post-pandemic world. Learn more about the future of MarTech (aka marketing technology) in this article by Diego Espada, Head of PMO at BairesDev: https://lnkd.in/dQWvV7b#MarTech #Technology'",22,0,0,"#MarTech, #Technology'",linkedin,negócios,artigo,Post-Pandemic,en
3,hexacta,,2020-11-18,A good UX/UI design can drastically change the face of a business and produce a major return on investment. To know more reasons why you should invest in UX/UI design watch the following video! #uxui #designYou can also read our Blog Post here https://lnkd.in/gpHpUTf',12,0,0,"#uxui, #designYou",linkedin,,,,en
1,dextra-technologies,,2020-11-18,"Google has released today version 87 of its #Chrome browser, which comes with a security fix and a broader deprecation of the FTP protocol. Major new features are aimed at web developers, take a look: http://ow.ly/KN7E50CntlZ #TechNews'",2,0,0,"#Chrome, #TechNews'",linkedin,,,,en
0,cinq-technologies,,2020-11-18,"Beyond #bitcoin and #cryptocurrencies, learn about #blockchain technology and how it can be an advantage for companies: https://lnkd.in/g9gssGJ'",8,0,0,"#bitcoin, #cryptocurrencies,, #blockchain",linkedin,,,,en
2,globant,,2020-11-17,Globant is hosting Globant Career Week. Would you like to attend?',60,2,0,,linkedin,employer branding,post,Abertura de Vagas,en
9,globant,,2020-11-17,There is no limit to what women can accomplish! 💪 Join us on December 10 as we recognize women that are rocking the IT industry and get inspired by the best stories from this amazing community. Register now! 👉 https://bit.ly/2ZFgpQ9#GlobantAwards #WomenThatBuild',53,1,0,"#GlobantAwards, #WomenThatBuild'",linkedin,branding,webinar,Women empowering,en
4,bairesdev,,2020-11-17,Welcome to our newest team members.Cesar Olmeda - Harys Vizcaino - William Palacios - Francisco A. - Juan Carlos Martinez#NewTeam',76,3,0,#NewTeam',linkedin,,,,en
6,bairesdev,,2020-11-17,"We are looking for Python Developers to join our team!• 5+ years of practical experience in Python and Django development.• 3+ years of development using other programming languages.• Experience in development with object-oriented programming is desirable.• Good skills with XML and relational databases (Oracle / MS SQL / MySQL).• Strong professional experience working with large data structures and algorithms.If you are interested, please click here and apply: https://lnkd.in/gty2DCr#JobSearch #Python'",37,3,0,"#JobSearch, #Python'",linkedin,employer branding,post,Abertura de Vagas,en
0,hexacta,,2020-11-17,"""Are you asking yourself why outsourcing fails in companies? Our PM, Rodrigo Paschetta, shows us three common mistakes you must avoid when choosing a software development outsourcing company. Don't miss it!#outsourcing #softwaredevelopment""",5,0,0,"#outsourcing, #softwaredevelopment""",linkedin,,,,en
10,globant,,2020-11-16,One tool with 3 game-changing features. \U0001f929 Read our latest article and find how Augmented Coding helps companies integrate artificial intelligence into their daily operations and their software development strategies. https://bit.ly/3eFTbjb#AugmentedCoding #Coding #AI #ArtificialIntelligence #',40,1,0,"#AugmentedCoding, #Coding, #AI, #ArtificialIntelligence, #'",linkedin,técnico,artigo,Augmented Coding,en
11,globant,,2020-11-16,"In this article, we will dive into the underlying concepts that form the foundation of user stories, and detail the “three amigos” method, which we have found to be highly useful 🙌 https://bit.ly/3lI9iPl'",69,0,0,,linkedin,employer branding,artigo,Cultura da empresa,en
1,softexnacional,,2020-11-16,"📚Neste curso serão apresentadas as alterações realizadas na versão 2020.🔴O foco principal é demonstrar como a nova estrutura pode ser utilizada em implementações e discutir os benefícios desta nova abordagem.📖Durante o curso, serão apresentadas também as alterações realizadas no MA-MPS (guia de avaliação).⚠️Pré requisito: conhecimento prévio do MR-MPS-SW:2016Inscrições: https://lnkd.in/gKsnEwZ'",2,0,0,,linkedin,,,,pt
2,softexnacional,,2020-11-16,"✅🎟Participe! O WAMPS 2020 – Workshop Anual do MPS – imersivo e totalmente online, tem o objetivo de reconhecer a perspectiva de startups em diferentes estágios de crescimento quanto a processos de software e serviços de forma a favorecer o seu crescimento sustentável.🚀💡A missão deste evento é gerar conteúdo para engajar empresas para melhoria de processos e captar insumos para discutir o MPS como uma ferramenta de promoção do crescimento de startups, principalmente, trazendo a essência dos processos e ganho efetivo para os negócios.'",0,0,0,,linkedin,,,,pt
3,softexnacional,,2020-11-16,🚀💡\U0001f929Faltam apenas 4 dias!!!!',0,0,0,,linkedin,,,,pt
7,bairesdev,,2020-11-16,"""Our employees' stories inspire us. Discover how Carolina found the perfect balance in BairesDev achieving professional goals while accomplishing her personal dream of traveling around the world.2020 has been a tough year for traveling and relocation opportunities, but we look forward to going back to normal and doing it soon!#Employee #Testimonials""",33,2,0,"#Employee, #Testimonials""",linkedin,,,,en
9,bairesdev,,2020-11-16,We partnered with Google and provided experts in Software and Automation Engineering to ensure the quality of iOS Apps for some of their most relevant products.https://lnkd.in/ducqHdd',40,4,0,,linkedin,,,,en
7,globant,,2020-11-15,"""Here's Wishing You And Your Loved Ones A Very #Happy #Diwali!""",22,1,0,"#Happy, #Diwali!""",linkedin,branding,post,Holiday,en
15,globant,,2020-11-15,"As the current epidemic has progressed, we have analysed the touch-points between brands and consumers and identified opportunities to help companies adapt their waiting processes to the shifting reality. 🙌 Join us in this webinar, where you will learn the keys to boosting your Customer Experience in a touchless economy. https://bit.ly/3lGo0GU#CustomerExperience #Webinar #VirtualQueuing #Queing #CX'",81,0,0,"#CustomerExperience, #Webinar, #VirtualQueuing, #Queing, #CX'",linkedin,negócios,webinar,Customer Experience,en
20,globant,,2020-11-15,"Ivana González, Digital Marketing & Content Strategist at Globant, shared her thoughts on the most relevant and professional-shaping lessons she learnt working in Technology 👉 https://bit.ly/36ylYCH'",90,0,0,,linkedin,employer branding,webinar,Carrer path,en
25,globant,,2020-11-15,"“Any company’s mission should be facilitating diverse spaces that allow both personal and work conversations,” 🗣️ says Fernando Matzkin, North American Chief Business Officer Globant. Read his advice to help bring your authentic self to work on FastCompany 👉 https://bit.ly/35tpLlu'",14,0,0,,linkedin,negócios,artigo,,en
13,globant,,2020-11-14,"Let’s join the World Kindness Day celebration! A day to recognize the importance of being kind with all people, with the world & with ourselves. 🌎\U0001f9d8\u200d♂️\U0001f9d8\u200d♀️🌿A day to multiply positive actions and contribute to building a better world!Learn more about Globant’s positive impact initiatives & our Be Kind philosophy 👉 https://bit.ly/3nojIVm #WorldKindnessDay #BeKind'",133,1,1180,"#WorldKindnessDay, #BeKind'",linkedin,employer branding,post,Diversidade e inclusão,en
11,bairesdev,,2020-11-14,"We are looking for Magento 2 Developers to join us!• 5+ years of experience in Magento.• Strong skills with PHP, JavaScript, HTML, CSS, and MySQL.• Solid knowledge of modern UI/UX trends.• Magento certification is a plus.• Advanced English level.If you are interested, please click here and apply: https://lnkd.in/dNyb87d#JobSearch #Magento2'",29,2,0,"#JobSearch, #Magento2'",linkedin,employer branding,post,Abertura de Vagas,en
5,dextra-technologies,,2020-11-14,"Connected car technology brings innovative solutions to the #automotive landscape. Learn about the architecture behind it, what’s next and more here: http://ow.ly/acXM50CkaC0 #IoT #Software'",5,0,0,"#automotive, #IoT, #Software'",linkedin,técnico,post,IOT,en
14,globant,,2020-11-13,"Get to know Agustin Huerta as he explains the importance of creative thinking in jobs in the technology fields, while talking about his career path towards becoming VP of technology Data & Analytics Studios at Globant. And read this recent whitepaper from his Studio authored by Gonzalo Zarza and Juan José López Murphy about the power of AI to augment organizations 👉 https://bit.ly/32CdQj6#AI #ML #Data #Careerpath #Career #AI #ArtificialIntelligence'",174,3,1424,"#AI, #ML, #Data, #Careerpath, #Career, #AI, #ArtificialIntelligence'",linkedin,employer branding,webinar,Career path,en
19,globant,,2020-11-13,"Guibert Englebienne, Co-founder y CTO de Globant, estará junto a más de 40 expertos en Negocio, Tecnología, Real Estate y Arquitectura, en Beyond 2020, un evento virtual donde se analizarán los retos y oportunidades de esta nueva era. 🙌 ¡No te lo pierdas! 👉 https://bit.ly/3pmtx83#WeAreBeyond2020 #TheSmartConversations'",128,1,0,"#WeAreBeyond2020, #TheSmartConversations'",linkedin,negócios,evento,Consequencias pandemia,es
24,globant,,2020-11-13,"Súmate a nuestra nueva charla de #CaféConProtagonistas con Javier Casas Rua, Director del Banco ICBC Argentina, quien va a compartir su experiencia como líder transformacional y, en particular, su visión en los aspectos relativos a diversidad de género, integración de jóvenes en contextos de vulnerabilidad y la hibridación generacional el próximo 19 de noviembre.👉 Inscríbete aquí: https://bit.ly/3eTo2Jg'",33,0,0,#CaféConProtagonistas,linkedin,employer branding,webinar,Diversidade e inclusão,es
36,globant,,2020-11-13,"""Through the pandemic, Zoom meetings and messaging services from Gchat to Slack have allowed continued collaboration from our homes. But while Slack is a helpful tool for remote teams, incessant pings and unnecessary notifications can be a drag on employee productivity, particularly in such divisive times. In an interview with TechRepublic, Globant's Chief Business Officer of North America, Fernando Matzkin, shares some tips to help organizations foster relationships with clear internal messaging guidelines and maintain productivity while WFH continues. Read his insights here 👉 https://tek.io/2Ud5SZj#GlobantInTheNews #WFH #WorkFromHome #StayRelevant""",27,0,0,"#GlobantInTheNews, #WFH, #WorkFromHome, #StayRelevant""",linkedin,employer branding,artigo,Work remote,en
7,softexnacional,,2020-11-13,Comunidade MPS inscrições abertas: https://lnkd.in/dh_nH6K.Confiram a programação e participem: https://lnkd.in/dh_nH6K.Ana Cog .#melhoriadeprocessos #qualidadesoftware',9,0,0,"#melhoriadeprocessos, #qualidadesoftware'",linkedin,,,,pt
15,bairesdev,,2020-11-13,"""If you're looking to bring Big Data into your business, you should definitely take a look at this new list by Pablo Chamorro, BairesDev's Chief Revenue Officer.Read more: https://lnkd.in/dCTEbw3#SAP #BigData""",26,1,0,"#SAP, #BigData""",linkedin,,,,en
4,hexacta,,2020-11-13,"Our IT support area receives dozens of tickets every day with different kinds of problems employees have. Take a look at this article written by our Software engineers experts (the Hexacta Architecture Team), where they tell us how we can automatically classify them with #NLP and Machine Learning techniques.'",6,0,0,#NLP,linkedin,,artigo,,en
1,cinq-technologies,,2020-11-13,"""Digital Acceleration has the priority of aligning strategies and preparing a company’s teams to innovate in a constantly changing environment.Download Cinq's new ebook about Digital Acceleration and learn the basic principles, fundamental technologies, methodologies, and more: https://lnkd.in/dFfgugC#Digital #DigitalAcceletarion""",12,0,0,"#Digital, #DigitalAcceletarion""",linkedin,,,,en
4,globant,,2020-11-12,"""We are revolutionizing the way in which we develop software. 💥 Discover how Augmented Coding will help our clients be significantly more productive.Read more in our Whitepaper and learn how A+ ramp up your team's speed: https://bit.ly/3jGcObS""",58,2,0,,linkedin,técnico,e-book,Augmented Coding,en
12,globant,,2020-11-12,¡Conoce nuestros eventos de la semana!Acá te compartimos el registro de cada uno ⬇️Design Talk: https://bit.ly/2U6ddd4 Globant Opportunities: https://bit.ly/3k72Ct2 Café con protagonistas: https://bit.ly/3kilPb3 ⚡¡Te esperamos!⚡ #Designtalk #UX #Academy #Bekind',26,0,0,"#Designtalk, #UX, #Academy, #Bekind'",linkedin,employer branding,webinar,Atividades internas da empresa,es
17,globant,,2020-11-12,"The nomination period has ended, and we reached more than 12K applications! \U0001f929 Thanks to all those who helped to make visible the work of women from the IT sector who inspire, lead and help create change. 👉 Stay tuned for further details about the upcoming events where we will announce the winners. You can already register to attend here: https://bit.ly/2ZFgpQ9#GlobantAwards #WomenThatBuild'",36,0,0,"#GlobantAwards, #WomenThatBuild'",linkedin,branding,premiações,Women empowering,en
18,globant,,2020-11-12,"En esta charla, te invitamos a conocer cómo la inteligencia artificial puede convertirse en una herramienta de trabajo clave para el proceso de diseño de productos digitales centrados en el usuario. ⚡👩\u200d💻👨\u200d💻⚡Además, expondremos de que manera puedes emplearla como aliada para tu trabajo como diseñador de experiencia.¡No te la pierdas!Regístrate acá 👉 https://bit.ly/3eyCeqH¿Conoces a alguien que le pueda interesar? ¡Taggeal@!#Design #UX #AI #Designtalk'",120,6,0,"#Design, #UX, #AI, #Designtalk'",linkedin,técnico,webinar,AI,es
21,globant,,2020-11-12,"Can technology create a more inclusive work environment? 🚀2020 has been a difficult year for everyone, particularly women, so much so that some economists are talking about the first ""female recession."" How can companies build environments that give more visibility to women in the workplace? 💥 Sanja Licina, Ph.D., leader of Globant\'s Future of Organizations Studio, talks about the role of #technology in creating a culture of co-elevation marked by strong and lasting connections. Read all about it in her latest article on our blog 👉 https://bit.ly/31OAhS4#HumanResources #FutureOfWork #WomenInTech #Diversity #Inclusion #Leadership'",15,0,0,"#technology, #HumanResources, #FutureOfWork, #WomenInTech, #Diversity, #Inclusion, #Leadership'",linkedin,branding,artigo,Women empowering,en
28,globant,,2020-11-12,"""Anything from an #AI perspective helps bring attention and augment the more basic tasks, making teams more productive and efficient"" Brian Elliott, VP of Slack at #GlobantConverge. Relive the event highlights and main talks 👉 https://bit.ly/3jbCk9o#GlobantConverge #AugmentedCoding #SoftwareDevelopment #FutureOfWork #FutureOfDevelopment #Coding'",45,0,0,"#AI, #GlobantConverge., #GlobantConverge, #AugmentedCoding, #SoftwareDevelopment, #FutureOfWork, #FutureOfDevelopment, #Coding'",linkedin,técnico,webinar,,en
31,globant,,2020-11-12,"Na próxima quinta-feira 12/11, o nosso Glober brasileiro Yuri Escariao irá palestrar na Agiles 2020 LATAM, uma conferência ágil com a participação de toda America Latina. A participação do Yuri começará às 21:00 (BRT) e ele irá abordar temas como Management 3.0 e o papel do Scrum Master. Não fique de fora, inscreva-se aqui e participe conosco 👉 https://lnkd.in/dDNfFjV#scrum #M30 #scrummasters'",19,4,0,"#scrum, #M30, #scrummasters'",linkedin,negócios,palestra,Scrum Masters,pt
33,globant,,2020-11-12,"Today is your last chance to submit your candidate for the #GlobantAwards #WomenThatBuild edition. ⏳Nominate those women who inspire, lead and help create change! https://bit.ly/2ZFgpQ9'",33,0,0,"#GlobantAwards, #WomenThatBuild",linkedin,branding,premiações,Women Employement,en
37,globant,,2020-11-12,The waiting experience has to change after the COVID-19 pandemic. ⏰ Consumers will now not be so comfortable waiting in close proximity to others. Read our e-book and learn how to improve their experience 👉 https://bit.ly/3lrWNYr',66,0,0,,linkedin,negócios,e-book,customer experience ,en
43,globant,,2020-11-12,"As remote work continues during the COVID-19 pandemic, the prospect of an isolated winter while WFH looms. ❄️ ""Depending on your living situation, you may feel you have not enough or entirely too much contact with others,"" said Sanja Licina, Ph.D., Future of Organizations Lead at Globant, in an interview with Fast Company. Read her full insights to survive WFH fatigue by turning to your colleagues and leaders at work for support this winter here: https://bit.ly/2TTrFoG'",17,0,0,,linkedin,employer branding,artigo,Work remote,en
50,globant,,2020-11-12,"Wanda Weigert, Chief Brand Officer de Globant, estará presente en #CongresoFOPEA y reflexionará junto a Gabriela Olivan, Valeria Bazzi y Sofia Corral sobre cómo construir buenas prácticas entre periodistas y equipos institucionales.Mirá el panel en vivo👉 https://bit.ly/32jmdA6'",18,0,0,#CongresoFOPEA,linkedin,branding,painel,Trabalho em equipe,es
52,globant,,2020-11-12,"The world continues to face challenges with equality, diversity, and inclusion. 🌍 That’s why, here at Globant, we created a special response to help those communities that need it most. 🙌 Read our latest blogpost and discover how we are helping to transform the world: https://bit.ly/3jSMA61'",80,0,0,,linkedin,employer branding,post,Diversidade e inclusão,en
72,globant,,2020-11-12,"🎧 En el podcast del #ConsejoPR Wanda Weigert, Chief Brand Officer de Globant junto a Gustavo Ripoll y Chani Guyot reflexionaron sobre sus experiencias en el día a día viviendo los beneficios que trajo el impacto digital.Escucha el podcast completo acá 👉 https://spoti.fi/3evaN0Z'",30,1,0,#ConsejoPR,linkedin,,,,es
6,softexnacional,,2020-11-12,"O bate-papo Softex recebe Vera Lucia Cabral Costa, diretora de Educação da Microsoft Brasil, para discutir um pouco sobre os desafios, tendências, demandas e empregabilidade no setor de TI! https://lnkd.in/eaK4CQv.Vem escutar e aprender um pouco mais sobre essa área que cresce todo dia! https://lnkd.in/eaK4CQv.Nosso agradecimento mais que especial à Vera Lucia Cabral Costa e Karen Kornilovicz pelo conteúdo inspirador!.#podcast #EducacaoeTecnologia.'",12,0,0,"#podcast, #EducacaoeTecnologia.'",linkedin,,,,pt
8,softexnacional,,2020-11-12,#SoftexApoia Accenture Bravers Awards \U0001f929🍀 https://lnkd.in/dKC77g9.Premiação da Accenture em parceria com a HSM. Reconhece empresas que desenvolvem projetos com potencial para mudar a realidade do País. .Participem https://lnkd.in/dKC77g9.#Bravers #AccentureBraversAward.Rayanny Nunes Thierry Cintra Marcondes',11,0,0,"#SoftexApoia, #Bravers, #AccentureBraversAward.Rayanny",linkedin,,,,pt
11,softexnacional,,2020-11-12,"Startups e Empresas, iniciamos amanhã (11.11.2020) a primeira edição do Global Connection. https://lnkd.in/erMuHbg.Uma missão virtual para Portugal, Colômbia e Canadá, uma experiência de imersão nesses países e o início do conhecimento da internacionalização..Esperamos vocês nessa jornada de conhecimento e desenvolvimento. https://lnkd.in/erMuHbg.#Portugal #Colômbia #Canadá .Ana B Pires'",22,1,0,"#Portugal, #Colômbia, #Canadá",linkedin,,,,pt
10,bairesdev,,2020-11-12,"""How can business leaders create an environment that fosters innovation and positive impact within their companies? Follow Nacho De Marco, BairesDev's CEO, and Co-Founder, as he explores the opportunities you can seize to achieve impact in today's dynamic landscape.Read the full article here: https://lnkd.in/d6jZ92d#Business #Challenges #Innovation""",25,0,0,"#Business, #Challenges, #Innovation""",linkedin,negócios,artigo,Innovation,en
12,bairesdev,,2020-11-12,Welcome aboard!Jhair Vincenzo Lozano Angulo - Luis Armando Salitrero Pérez - Arturo Bojorquez Becerril - André Dadamos - Aline Andres#NewTeam',110,3,0,#NewTeam',linkedin,,,,pt
14,bairesdev,,2020-11-12,"""In this video, Lucas Hendrich, our CTO for North America, explains how we hire only the Top 1% of IT Talent. Through a very strict interviewing and evaluation process, we select the best Senior Engineers to drive our client's digital acceleration.#Talent #Clients #SoftwareEngineers""",37,3,0,"#Talent, #Clients, #SoftwareEngineers""",linkedin,,,,en
17,bairesdev,,2020-11-12,"As newer, more convenient, and more secure authentication methods emerge, many businesses are starting to look past the classic password system. Follow Edward ""E.B."" Batten, BairesDev\'s EVP of Growth, as he analyzes the new technologies that are looking to replace passwords.Read more: https://lnkd.in/dzg2gdD#Password #Technology #Business'",23,1,0,"#Password, #Technology, #Business'",linkedin,,,,en
18,bairesdev,,2020-11-12,"Python is a general-purpose language, used to create optimum products. Is it the ideal language for your next development project? Click here and explore Python’s best qualities and features: https://lnkd.in/drurewi'",19,1,0,,linkedin,,,,en
19,bairesdev,,2020-11-12,"""Our team is always growing. Welcome aboard!Gustavo Emmel - Boney D'Cruz - Alvaro Fraga - Luis Estevez - David Lyon#NewTeam""",93,9,0,"#NewTeam""",linkedin,,,,en
20,bairesdev,,2020-11-12,"Nacho De Marco has been named “Executive of the Year” at the 2020 BIG Awards for Business! As CEO and Co-Founder of BairesDev, Nacho has always prioritized the high-quality delivery of custom technology solutions via the Top 1% of IT Talent. This award, like those before it, is a reflection of his thorough commitment to innovation in the IT industry and beyond. Congratulations, Nacho!Read more here: https://lnkd.in/dGbeyEg#Recognition #ExecutiveOfTheYear'",200,7,0,"#Recognition, #ExecutiveOfTheYear'",linkedin,,,,en
21,bairesdev,,2020-11-12,"We are looking for Vue.js Developers to join us!• 5+ years of experience with software development.• 3+ years of experience with Vue.js development.• Strong skills with the JavaScript language, and frameworks (React, Angular, Ember, etc.).• Expert/Advanced experience in front-end technologies, security architectures, and user experience.• Advanced in developing and testing web-based, mobile-web based, and fully responsive web applications using JavaScript frameworks such as Jest, Mocha, Chai, Jasmine, etc.• Experienced in service integrations (Web Services, CMS / Commerce systems, 3rd party APIs, etc.).• Experience with both consuming and designing RESTful APIs.• Advanced English level.If you are interested, click here and apply: https://lnkd.in/dJDfiFz#Jobs #Vuejs'",30,1,0,"#Jobs, #Vuejs'",linkedin,employer branding,post,Abertura de Vagas,en
24,bairesdev,,2020-11-12,IT Staff Augmentation adds the extra talent needed to boost your development projects. Reach your business goals faster and more cost-efficiently with our Extended Team.https://lnkd.in/e9tkjcA',17,0,0,,linkedin,,,,en
25,bairesdev,,2020-11-12,"We are looking for Node.js Developers to join our team!• 5+ years of experience in Node development.• Experience in Video and HLS.• Excellent command of English, both spoken and written.If you are interested, please click here and apply: https://lnkd.in/ejd2xPa#Jobs #Nodejs'",33,3,0,"#Jobs, #Nodejs'",linkedin,employer branding,post,Abertura de Vagas,en
35,bairesdev,,2020-11-12,"The new technologies, workflow processes, and modified operations that most businesses have adopted this year might be calling for a revised cybersecurity strategy. In this article, Facundo Molina takes a deeper look into what it means to be prepared for a cyber-crisis.Read more: https://lnkd.in/dkCzpuY#CyberSecurity #CyberAttack #CyberProtection'",29,1,0,"#CyberSecurity, #CyberAttack, #CyberProtection'",linkedin,negócios,artigo,Cyber Security,en
37,bairesdev,,2020-11-12,"We are looking for Adobe AEM Developers to join us!• 5+ years of work experience in software engineering and/or development operations and 3+ years of work experience in AEM / CQ implementation projects.• 3+ years of experience in Java, J2EE, Spring, Ajax, OSGI, JCR, and SQL.• Experience building modern decoupled single page web applications with React backed by REST or GraphQL web services.• Experience with modern DevOps pipelines and tools.• Experience building CMS templates and components for AEM using HTML/Sightly, and Java backing objects.• Experience developing AEM clientlibs and migrating HTML/JS/CSS into AEM.• Troubleshooting AEM deployed code and infrastructure.• Previous experience with Sprint based Agile development, including estimation, scoping, and successful delivery.• Advanced English level.If you are interested, please click here and apply: https://lnkd.in/dtpFsRj#JobSearch #AdobeAEM'",9,0,0,"#JobSearch, #AdobeAEM'",linkedin,employer branding,post,Abertura de Vagas,en
2,hexacta,,2020-11-12,Keeping #outsourcing partnerships strong and engaged is not always simple. That is why it is important to bear in mind these tips that will help you maintain healthy relationships and succeed with your projects. For more details read our Blog Post here: https://lnkd.in/e_3puCc',11,1,0,#outsourcing,linkedin,,,,en
6,hexacta,,2020-11-12,"Take a look at this article written by our partner Javier López de Lagar, and see how software has helped industries recover from the crisis- from retail and financial businesses to governmental organizations.#covid19 #sofware'",9,0,0,"#covid19, #sofware'",linkedin,,artigo,,en
8,hexacta,,2020-11-12,"By outsourcing your software project, we ensure your product runs and works as it should, meeting all requirements. Thanks to our testing process we are able to foresee potential issues and avoid risks. #software #outsourcing'",7,0,0,"#software, #outsourcing'",linkedin,,,,en
0,dextra-technologies,,2020-11-12,"Sensors will be pivotal for unlocking high automation levels, and the number and type of sensors are expected to increase. Interested in #ADAS ? Keep reading to learn more: http://ow.ly/kBOk50CgQkc #Embedded'",4,0,0,"#ADAS, #Embedded'",linkedin,,,,en
3,dextra-technologies,,2020-11-12,"Agile, Lean, DevOps, and other bodies of knowledge are all a means to an end, not the end itself. Learn more about #Agile and #Lean here: http://ow.ly/SDqG50CdSN1'",5,1,0,"#Agile, #Lean",linkedin,técnico,artigo,Agile,en
