id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,language,post_text_pt,,,
466,bairesdev,,2020-04-08,Our team is always growing. Welcome aboard!Jose Manuel Zamora Ortiz - Jose Moises Coca Robles - Luis Cardenas Lepine - Irepan Chavez - Daniel Mirapalheta#NewTeam',219,16,0,#NewTeam',linkedin,en,Nossa equipe está sempre crescendo. Bem-vindo a bordo! Jose Manuel Zamora Ortiz - Jose Moises Coca Robles - Luis Cardenas Lepine - Irepan Chavez - Daniel Mirapalheta # NewTeam &#39,,,
473,bairesdev,,2020-04-08,Welcome aboard!Marco Antonio Martínes Suárez- Abraham Sinai Huerta Macias - Erick Villalpando - Valentina Tellechea - Marcos Pinello#NewTeam',310,42,0,#NewTeam',linkedin,es,Bem-vindo a bordo Marco Antonio Martínes Suárez- Abraham Sinai Huerta Macias - Erick Villalpando - Valentina Tellechea - Marcos Pinello # NewTeam &#39,,,
479,bairesdev,,2020-04-08,"Increase the size and productivity of your internal development teams in minimal time with a proven, reliable, and cost-effective option: our Extended Team services.https://lnkd.in/e9tkjcA'",61,0,0,,linkedin,en,"Aumente o tamanho e a produtividade de suas equipes de desenvolvimento interno em um tempo mínimo com uma opção comprovada, confiável e econômica: nossos serviços Extended Team.https: //lnkd.in/e9tkjcA &#39;",,,
480,bairesdev,,2020-04-08,Take advantage of IoT solutions and increase the value of your business. Our Top 1% IT teams will guide you on your path to IoT adoption by developing large-scale initiatives that unleash the true potential of this technology.https://lnkd.in/dhdt_Ab',77,0,0,,linkedin,en,"Aproveite as soluções de IoT e aumente o valor do seu negócio. Nossas principais equipes de TI de 1% irão guiá-lo em seu caminho para a adoção de IoT, desenvolvendo iniciativas em grande escala que liberam o verdadeiro potencial desta tecnologia.https: //lnkd.in/dhdt_Ab &#39;",,,
481,bairesdev,,2020-04-08,Welcome to our newest team members!Jaime Abdiel Chung Rodriguez - Alex Vitoriano Gualberto Meyer Pereira - Marcos Antonio Breve - Ángel Josue Zelaya - Kaleby Cadorin#NewTeam',221,5,0,#NewTeam',linkedin,en,Welcome to our newest team members!Jaime Abdiel Chung Rodriguez - Alex Vitoriano Gualberto Meyer Pereira - Marcos Antonio Breve - Ángel Josue Zelaya - Kaleby Cadorin#NewTeam',,,
482,bairesdev,,2020-04-08,Reduce time-to-market and deliver outstanding experiences by outsourcing your UX/UI Design needs with us. We deliver high-quality products that match your business goals.https://lnkd.in/eRmzfYN',74,3,0,,linkedin,en,Reduza o tempo de colocação no mercado e ofereça experiências excepcionais terceirizando suas necessidades de UX / UI Design conosco. Oferecemos produtos de alta qualidade que correspondem aos seus objetivos de negócios.https: //lnkd.in/eRmzfYN &#39,,,
484,bairesdev,,2020-04-08,Welcome to our newest team members!Patricia Eurel Delgado - Carlos E. - David Llaja Hernández - Carlos Solares - Lucas Klug#NewTeam',274,15,0,#NewTeam',linkedin,en,Bem-vindos aos nossos mais novos membros! Patricia Eurel Delgado - Carlos E. - David Llaja Hernández - Carlos Solares - Lucas Klug # NewTeam &#39,,,
485,bairesdev,,2020-04-08,We lead your Digital Transformation by developing innovative and impactful solutions. Our Top 1% IT Talent teams apply top industry practices to deliver value to our world-class clients.https://lnkd.in/dzNtZaW',64,0,0,,linkedin,en,Lideramos sua transformação digital desenvolvendo soluções inovadoras e impactantes. Nossas melhores equipes de 1% de talento em TI aplicam as melhores práticas da indústria para agregar valor aos nossos clientes de classe mundial.https: //lnkd.in/dzNtZaW &#39,,,
261,bairesdev,,2020-05-08,"""In this article, Damian Scalerandi, BairesDev's VP of Operations, analyzes how to improve remote team performance: https://lnkd.in/grsuF9i#RemoteTeams #Productivity""",102,4,0,"#RemoteTeams, #Productivity""",linkedin,en,"&quot;Neste artigo, Damian Scalerandi, vice-presidente de operações da BairesDev, analisa como melhorar o desempenho da equipe remota: https://lnkd.in/grsuF9i#RemoteTeams #Productivity&quot;",,,
268,bairesdev,,2020-05-08,"""Jeff Moore, BairesDev's Sales Executive, writes about AI & digital transformation. Check it out here: https://lnkd.in/e_TgJ9H#ArtificialIntelligence #DigitalTransformation #AI""",68,0,0,"#ArtificialIntelligence, #DigitalTransformation, #AI""",linkedin,en,"&quot;Jeff Moore, executivo de vendas da BairesDev, escreve sobre IA e transformação digital. Confira aqui: https://lnkd.in/e_TgJ9H#ArtificialIntelligence #DigitalTransformation #AI&quot;",,,
269,bairesdev,,2020-05-08,Nacho De Marco has participated in a new edition of the Forbes Tech Council analyzing how times of crisis affect the way we work. Check it out here: https://lnkd.in/ewZAUx9',66,1,0,,linkedin,en,Nacho De Marco participou de uma nova edição do Forbes Tech Council analisando como os tempos de crise afetam a forma como trabalhamos. Confira aqui: https://lnkd.in/ewZAUx9 &#39,,,
271,bairesdev,,2020-05-08,"""David Russo, BairesDev's Sales Executive, explains how entrepreneurs can adapt to times of crisis. Read more here: https://lnkd.in/e8wdrrM#Entrepreneurs #Business""",59,2,0,"#Entrepreneurs, #Business""",linkedin,en,"&quot;David Russo, Executivo de Vendas da BairesDev, explica como os empreendedores podem se adaptar a tempos de crise. Leia mais aqui: https://lnkd.in/e8wdrrM#Entrepreneurs #Business&quot;",,,
281,bairesdev,,2020-05-08,"Remote work and distributed teams have been an essential part of our business methodology since our beginnings. Today the current crisis has forced businesses across all industries to catch up with that smarter way of working.Now, more than ever, we rely on more than a decade of expertise in smart working to continue business as usual, collaborating closely with all of our teams and fully supporting our clients in times of need.In this article from The Verge, Mark Zuckerberg talks about the perks of embracing a remote workplace, including increased productivity, diversity, and access to a wider talent pool.Check out the article here! https://lnkd.in/dQrKsGh#RemoteWork #SmartWorking #BusinessAsUsualAtBD'",131,4,0,"#RemoteWork, #SmartWorking, #BusinessAsUsualAtBD'",linkedin,en,"Trabalho remoto e equipes distribuídas têm sido uma parte essencial de nossa metodologia de negócios desde o nosso início. Hoje, a crise atual forçou as empresas de todos os setores a se atualizarem com essa maneira mais inteligente de trabalhar. Agora, mais do que nunca, contamos com mais de uma década de experiência em trabalho inteligente para continuar os negócios normalmente, colaborando de perto com todos os nossos equipes e suporte total aos nossos clientes em momentos de necessidade. Neste artigo do The Verge, Mark Zuckerberg fala sobre as vantagens de adotar um local de trabalho remoto, incluindo maior produtividade, diversidade e acesso a um pool de talentos mais amplo. Confira o artigo aqui! https://lnkd.in/dQrKsGh#RemoteWork #SmartWorking #BusinessAsUsualAtBD &#39;",,,
296,bairesdev,,2020-05-08,"""In this article, understand e-commerce's current scenario amidst the Coronavirus pandemic. Read more here: https://lnkd.in/eUYnScV#Ecommerce #Business""",86,4,0,"#Ecommerce, #Business""",linkedin,en,"&quot;Neste artigo, entenda o cenário atual do comércio eletrônico em meio à pandemia do Coronavirus. Leia mais aqui: https://lnkd.in/eUYnScV#Ecommerce #Business&quot;",,,
298,bairesdev,,2020-05-08,Check out Nacho De Marco’s new feature on Forbes Expert Panel analyzing relevant trends for mobile app development. Read more here: https://lnkd.in/gQXHhJ8',33,0,0,,linkedin,en,"Confira o novo recurso de Nacho De Marco no Painel de especialistas da Forbes, analisando tendências relevantes para o desenvolvimento de aplicativos móveis. Leia mais aqui: https://lnkd.in/gQXHhJ8 &#39;",,,
440,bairesdev,,2020-05-08,Welcome to our newest team members!Angel Claudio Salas Olórtegui - Carlos Alberto García - Lima Neto - Margarita Carbajal - Alexis Ibarra#NewTeam',287,11,0,#NewTeam',linkedin,en,Bem-vindos aos mais novos membros da nossa equipe Angel Claudio Salas Olórtegui - Carlos Alberto García - Lima Neto - Margarita Carbajal - Alexis Ibarra # NewTeam &#39,,,
442,bairesdev,,2020-05-08,"""Leveraging smart working methodologies is ingrained in BairesDev's core culture since its beginnings. Today, working remotely with distributed teams has proven to be essential to continue business as usual in these unprecedented times, thoroughly supporting our clients. María Eugenia Fiore, HRBP Manager, presents her home office space, check it out!#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",295,4,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"“O aproveitamento de metodologias de trabalho inteligentes está enraizado na cultura central da BairesDev desde o seu início. Hoje, trabalhar remotamente com equipes distribuídas provou ser essencial para continuar os negócios como de costume nestes tempos sem precedentes, apoiando integralmente nossos clientes. María Eugenia Fiore, Gerente de HRBP, apresenta o espaço do escritório em casa dela, dê uma olhada! #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
443,bairesdev,,2020-05-08,"""We have been mastering remote working for more than 10 years. In the face of this health crisis, we are grateful this has enabled us to continue operating normally through our distributed teams, consistently engaging with our client's needs. Here, Loli Bouilhol, Head of Recruiting, shows us her workspace.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",318,4,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"“Há mais de 10 anos dominamos o trabalho remoto. Diante dessa crise de saúde, somos gratos por isso ter nos permitido continuar operando normalmente por meio de nossas equipes distribuídas, engajando-se de forma consistente com as necessidades de nossos clientes. Aqui, Loli Bouilhol, Chefe de Recrutamento, nos mostra seu espaço de trabalho. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
445,bairesdev,,2020-05-08,Our Dedicated Teams deliver end-to-end technology solutions that immediately add value to your business. These teams work autonomously and provide progress reports as requested.https://lnkd.in/e-_xHSk',121,1,0,,linkedin,en,Nossas equipes dedicadas oferecem soluções de tecnologia ponta a ponta que imediatamente agregam valor ao seu negócio. Essas equipes trabalham de forma autônoma e fornecem relatórios de progresso conforme solicitado.https: //lnkd.in/e-_xHSk &#39,,,
446,bairesdev,,2020-05-08,"We have been working with remotely distributed teams for over ten years now. That smart way of work allows us to continue implementing all our usual processes effectively in the face of this pandemic. Saurabh Rao, Account Director, works closely with his team supporting our clients in times of need. Check out his home office space!#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",232,9,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"Trabalhamos com equipes distribuídas remotamente há mais de dez anos. Essa forma inteligente de trabalhar nos permite continuar implementando todos os nossos processos usuais de forma eficaz em face desta pandemia. Saurabh Rao, Diretor de Contas, trabalha em estreita colaboração com sua equipe, apoiando nossos clientes em momentos de necessidade. Confira o espaço do escritório dele em casa! #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
449,bairesdev,,2020-05-08,Welcome aboard!Gabriel Paschoal Vicente - Marcos B. - Fabricio Silva Braga - Nicolas Gil Bazzani - Martha Guillen#NewTeam',333,25,0,#NewTeam',linkedin,it,Welcome aboard!Gabriel Paschoal Vicente - Marcos B. - Fabricio Silva Braga - Nicolas Gil Bazzani - Martha Guillen#NewTeam',,,
450,bairesdev,,2020-05-08,Functional testing ensures that the product meets the user requirements specified by your company. BairesDev Functional Testing experts assess every functional feature of a product through test cases to make sure it is ready for market.https://lnkd.in/ei_3ztq',69,1,0,,linkedin,en,Os testes funcionais garantem que o produto atenda aos requisitos do usuário especificados por sua empresa. Os especialistas em testes funcionais da BairesDev avaliam todos os recursos funcionais de um produto por meio de casos de teste para garantir que ele esteja pronto para o mercado.https: //lnkd.in/ei_3ztq &#39,,,
451,bairesdev,,2020-05-08,"""The ongoing pandemic has drastically affected the business world and we are grateful that our smart working methodologies allow us to continue operating normally, helping our clients in challenging times. Check out Maria Clara Vallés's, Solution Architect at BairesDev, working from home arrangement.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",509,8,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;A pandemia em curso afetou drasticamente o mundo dos negócios e somos gratos por nossas metodologias de trabalho inteligentes nos permitirem continuar operando normalmente, ajudando nossos clientes em tempos difíceis. Confira Maria Clara Vallés, arquiteta de soluções da BairesDev, trabalhando em casa. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
452,bairesdev,,2020-05-08,"""We are grateful to have a unique remote working culture, as this allows us to operate and cater to our client's needs with normalcy in times of crisis. María Gabriela Galano, Administration Director, presents her home office setup where she continues working as usual.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",676,9,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"“Somos gratos por ter uma cultura de trabalho remota única, pois isso nos permite operar e atender às necessidades de nossos clientes com normalidade em tempos de crise. María Gabriela Galano, Diretora de Administração, apresenta sua configuração de home office onde continua trabalhando normalmente. #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
454,bairesdev,,2020-05-08,Our team is always growing. Welcome aboard!Cledson Oliveira - Marcos Paulo Hauer - Federico Lo Iacono - Eugênio Portella - Mauricio Robles#NewTeam',278,26,0,#NewTeam',linkedin,en,Our team is always growing. Welcome aboard!Cledson Oliveira - Marcos Paulo Hauer - Federico Lo Iacono - Eugênio Portella - Mauricio Robles#NewTeam',,,
455,bairesdev,,2020-05-08,"Our globally distributed remote teams help us continue working normally in the face of this ongoing crisis, and we are grateful this strengthens our capacity to support our clients throughout their journeys. Here, Facundo Pfeffer Leguizamón, R&D Engineer, shares his home working arrangement.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",268,6,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"Nossas equipes remotas distribuídas globalmente nos ajudam a continuar trabalhando normalmente em face desta crise contínua, e somos gratos por isso fortalecer nossa capacidade de apoiar nossos clientes em suas jornadas. Aqui, Facundo Pfeffer Leguizamón, Engenheiro de P&amp;D, compartilha seu arranjo de trabalho em casa. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
456,bairesdev,,2020-05-08,"""We have vast experience in remote working methodologies and are thankful this has helped us navigate this pandemic. Our operations continue as usual as we collaborate closely with our clients. We invite you to take a look at Sebastian Segui's, a member of our Business Development team, home workspace.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",303,8,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;Temos uma vasta experiência em metodologias de trabalho remoto e somos gratos por isso ter nos ajudado a navegar nesta pandemia. Nossas operações continuam como de costume, pois colaboramos estreitamente com nossos clientes. Convidamos você a dar uma olhada no Sebastian Segui, um membro de nosso Desenvolvimento de Negócios equipe, espaço de trabalho doméstico. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
457,bairesdev,,2020-05-08,"""Smart remote working is an integral part of our culture and it has helped us to continue working as usual, supporting our clients every step of the way in the face of this pandemic. Take a look at Rob T Martins's, Account Director, home workspace!#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",231,13,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;O trabalho remoto inteligente é parte integrante da nossa cultura e nos ajudou a continuar trabalhando normalmente, apoiando nossos clientes em cada etapa do caminho em face desta pandemia. Dê uma olhada no espaço de trabalho doméstico de Rob T Martins, Diretor de Contas ! #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
458,bairesdev,,2020-05-08,"We are proficient in smart working methodologies, and now more than ever, this has allowed us to continue working seamlessly with our global distributed teams, ready to collaborate with our clients at all times. Alejandro Schneideroff, Solution Architect at BairesDev, presents his home office space. Check it out!#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",187,5,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"Somos proficientes em metodologias de trabalho inteligentes e, agora mais do que nunca, isso nos permite continuar trabalhando de forma integrada com nossas equipes distribuídas globais, prontas para colaborar com nossos clientes em todos os momentos. Alejandro Schneideroff, Arquiteto de Soluções da BairesDev, apresenta seu espaço de escritório em casa. Confira! #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
459,bairesdev,,2020-05-08,"""We have vast experience working smartly with remote teams that continuously support our clients. This has become essential during this pandemic, and we are grateful it has helped us to operate without any complications. Take a look at Alejandro Vizcaino Wagner's, Delivery Manager, home office!#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",491,10,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;Temos uma vasta experiência em trabalhar de forma inteligente com equipes remotas que continuamente apoiam nossos clientes. Isso se tornou essencial durante esta pandemia e somos gratos por ter nos ajudado a operar sem complicações. Dê uma olhada em Alejandro Vizcaino Wagner, Gerente de Entregas, home escritório! #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
460,bairesdev,,2020-05-08,"Working with agile remote teams has always been one of our company’s key features. Today more than ever, we are thankful that our smart working methodology is an exceptional advantage for all of our team members to continue business as usual, supporting our clients. Natalia Rodriguez, our Staffing Manager, is no exception and is working from home collaborating closely together with her team.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",505,12,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"Trabalhar com equipes remotas ágeis sempre foi uma das principais características de nossa empresa. Hoje, mais do que nunca, agradecemos que nossa metodologia de trabalho inteligente seja uma vantagem excepcional para todos os membros de nossa equipe continuarem os negócios normalmente, apoiando nossos clientes. Natalia Rodriguez, nossa gerente de pessoal, não é exceção e está trabalhando em casa, colaborando de perto com sua equipe. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
461,bairesdev,,2020-05-08,"""Being expert practitioners of the distributed team model we have many competitive advantages, especially in today's world, where it allows us to continue operating normally while supporting our clients. Here, Christian Radakovich's, our Sr. Engagement Manager, presents his home office space.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",146,6,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"“Como profissionais experientes do modelo de equipe distribuída, temos muitas vantagens competitivas, especialmente no mundo de hoje, onde isso nos permite continuar operando normalmente enquanto apoiamos nossos clientes. Aqui, Christian Radakovich, nosso gerente sênior de engajamento, apresenta seu escritório em casa. #WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
462,bairesdev,,2020-05-08,"From adding the key professionals your team is missing to building autonomous teams that cover all of your development needs, you can partner with BairesDev and access the Top 1% IT Talent.https://lnkd.in/emjaJav'",77,2,0,,linkedin,en,"Desde adicionar os principais profissionais de que sua equipe está faltando até construir equipes autônomas que cubram todas as suas necessidades de desenvolvimento, você pode fazer parceria com a BairesDev e acessar o Top 1% IT Talent.https: //lnkd.in/emjaJav &#39;",,,
463,bairesdev,,2020-05-08,"BairesDev is a digitally native company structured around a smart working DNA that allows us to organize our teams in a distributed way, sourcing the Top 1% Talent from all over the world. This is especially useful in the face of today’s health crisis, as we can keep working as usual. Here Luis Paiva, Head of Client Services, gives as a quick look at his home office arrangement.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",286,2,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"A BairesDev é uma empresa digitalmente nativa estruturada em torno de um DNA de trabalho inteligente que nos permite organizar nossas equipes de forma distribuída, obtendo o Top 1% Talent de todo o mundo. Isso é especialmente útil em face da crise de saúde atual, pois podemos continuar trabalhando normalmente. Aqui, Luís Paiva, Chefe de Atendimento ao Cliente, dá uma rápida olhada na organização do seu escritório em casa. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
464,bairesdev,,2020-05-08,"""Being smart working experts allowed us to seamlessly transition to fully remote working and operating with our globally distributed teams to maintain our usual workflow. Although the current healthcare crisis has brought difficulties for most companies, Melisa Cabrera, Global Account Manager, ensures her teams are still catering to our client's requirements and supporting them in times of need.#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",395,8,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;Ser especialistas em trabalho inteligente nos permitiu fazer uma transição perfeita para o trabalho totalmente remoto e operar com nossas equipes distribuídas globalmente para manter nosso fluxo de trabalho normal. Embora a atual crise de saúde tenha trazido dificuldades para a maioria das empresas, Melisa Cabrera, gerente de contas globais, garante que suas equipes estão ainda atendendo aos requisitos de nossos clientes e apoiando-os em momentos de necessidade. # WorkFromHome #HomeOffice #BusinessAsUsualAtBD &quot;",,,
465,bairesdev,,2020-05-08,"We are proud to announce BairesDev has won recognitions in three different categories of The Stevie Awards. Our prizes include Fastest Growing Company of the Year, Fastest Growing Tech Company of the Year, and the recognition of Rocío Belfiore as Woman of the Year for Business Services Industries. This is amazing news for us, as we continue being acknowledged for our hard work and unparalleled results. Congratulations to all of our teams!Read more about this award here: https://lnkd.in/e7G75Ac#Recognition #Achievement'",415,22,0,"#Recognition, #Achievement'",linkedin,en,"Temos o orgulho de anunciar que a BairesDev ganhou reconhecimentos em três categorias diferentes do The Stevie Awards. Nossos prêmios incluem Empresa de Maior Crescimento do Ano, Empresa de Tecnologia de Maior Crescimento do Ano e o reconhecimento de Rocío Belfiore como Mulher do Ano para Indústrias de Serviços Empresariais. Esta é uma notícia incrível para nós, pois continuamos sendo reconhecidos por nosso trabalho árduo e resultados incomparáveis. Parabéns a todas as nossas equipes! Leia mais sobre este prêmio aqui: https://lnkd.in/e7G75Ac#Recognition #Achievement &#39;",,,
467,bairesdev,,2020-05-08,"We connect your business with technology to offer the most sophisticated customer experience. Our Microsoft Dynamics 365 experts will guide your custom integration step-by-step, helping you achieve a seamless digital transformation.https://lnkd.in/e7NxiFp'",93,1,0,,linkedin,en,"Conectamos sua empresa com tecnologia para oferecer a experiência mais sofisticada ao cliente. Nossos especialistas em Microsoft Dynamics 365 guiarão sua integração personalizada passo a passo, ajudando você a obter uma transformação digital contínua.https: //lnkd.in/e7NxiFp &#39;",,,
468,bairesdev,,2020-05-08,Welcome to our newest team members!Guido Mauricio Mantilla Tarazona - Jorge Escandon - Jose Luis Esteban Rodriguez Gonzalez - Caoimhe M. Harold - Daniel Salazar#NewTeam',271,27,0,#NewTeam',linkedin,es,Bem-vindo aos nossos mais novos membros da equipe! Guido Mauricio Mantilla Tarazona - Jorge Escandon - Jose Luis Esteban Rodriguez Gonzalez - Caoimhe M. Harold - Daniel Salazar # NewTeam &#39,,,
469,bairesdev,,2020-05-08,"Ensure the quality of your applications with our Software Testing and QA teams. Our specialized QA teams have completed dozens of stand-alone and integrated projects, providing supreme Quality Assurance through a deep understanding of your business goals and applications.https://lnkd.in/dThBbqv'",79,2,0,,linkedin,en,"Garanta a qualidade de seus aplicativos com nossas equipes de teste de software e controle de qualidade. Nossas equipes especializadas de QA concluíram dezenas de projetos autônomos e integrados, fornecendo garantia de qualidade suprema por meio de uma compreensão profunda de seus objetivos de negócios e aplicativos. Https: //lnkd.in/dThBbqv &#39;",,,
470,bairesdev,,2020-05-08,Our full-cycle custom software development solutions are tailored to fit your business needs. Our unmatched ability to efficiently create top-performing teams allows us to rapidly bring products to market for our customers. https://lnkd.in/dxmWeNT',76,0,0,,linkedin,en,Nossas soluções de desenvolvimento de software personalizado de ciclo completo são feitas sob medida para atender às suas necessidades de negócios. Nossa capacidade incomparável de criar equipes de alto desempenho com eficiência nos permite levar produtos rapidamente ao mercado para nossos clientes. https://lnkd.in/dxmWeNT &#39,,,
