id,company,post_title,post_date,post_text,Tipo,Assunto,Modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
13,ciandt,,2020-12-19,"Ser protagonista da sua jornada é assumir responsabilidade por suas escolhas diante das oportunidades e desafios. Para alcançar o verdadeiro empoderamento, é preciso desenvolver o autoconhecimento. Entendendo sua história, você será capaz de dirigir sua carreira para alavancar seus desejos e objetivos. Essas são apenas algumas dicas para você iniciar o seu processo, outras atitudes para continuar transformando seu caminho profissional você encontra em nosso ebook: https://lnkd.in/dbcnWnP#carreira #protagonismo #autoconhecimento'",Employer Branding,Auto conhecimento,Ebook,112,1,0,"#carreira, #protagonismo, #autoconhecimento'",linkedin
14,ciandt,,2020-12-19,"Esses são alguns tipos de vieses inconscientes que nos formam em maior ou menor medida. Saber identificá-los é essencial para olharmos, sem julgamentos, para uma nova realidade, adotando uma postura aberta e respeitosa. Atitudes como essa fazem parte de um conjunto de ações que vão fazer você se destacar profissionalmente no novo mundo. Descubra e transforme-se hoje na pessoa que você quer ser amanhã acessando o nosso e-book: https://midi.as/2r83.#diversity #viesinconsciente #peopleready'",Employer Branding,Diversidade,Ebook,123,5,0,"#diversity, #viesinconsciente, #peopleready'",linkedin
15,ciandt,,2020-12-19,"As seis regras de ouro do Kaizen é uma importante ferramenta para destravar a habilidade da empatia e fomentar o que chamamos de inteligência coletiva. Essa possibilidade de trocas, aprendizados e ampliação de visões de mundo a partir do olhar do outro é de enorme valor para atender às necessidades de públicos mais diversos e criar uma colaboração real. Essa sensibilidade deve ser uma premissa essencial da sua carreira, principalmente para construir os caminhos do amanhã. Para saber mais, acesse o nosso e-book: https://lnkd.in/dbcnWnP#kaizen #peopleready #empatia'",Employer Branding,Empatia,Ebook,125,4,0,"#kaizen, #peopleready, #empatia'",linkedin
16,ciandt,,2021-02-03,"Acreditamos no poder da diversidade para o desenvolvimento de um ambiente mais criativo e, por consequência, mais inovador. Buscamos sempre aprender, nos desenvolver e nos conscientizar para continuar construindo times mais plurais e, mais do que isso, proporcionar segurança para todas as nossas pessoas serem quem são. No Dia Nacional da Visibilidade Trans, contamos um pouco do que já fizemos e estamos fazendo para promover a diversidade e a inclusão aqui na CI&T, acesse: #diadavisibilidadetrans #diversidade #diversidadeeinclusao'",Employer Branding,Diversidade,Post,303,8,0,"#diadavisibilidadetrans, #diversidade, #diversidadeeinclusao'",linkedin
17,ciandt,,2020-12-19,"Dia 3 de dezembro estaremos com um grande time de palestrantes na sala exclusiva da CI&T na edição Porto Alegre do TDC, trazendo aprendizados e descobertas que vão ajudar a desenvolver ainda mais a sua jornada de conhecimento! Renato Macedo, Eduardo Sangion, Greg Lopes e Marília Varoni + Alessandra Peguim Rosa esperam você! Inscreva-se gratuitamente e participe: https://lnkd.in/dbSfGHF'",Técnico,TDC,Eventos Externo,99,2,0,,linkedin
18,ciandt,,2020-11-19,"Conheça nosso time especial de palestrantes que farão parte do primeiro dia (02/12) da sala exclusiva da CI&T no TDC Porto Alegre: Solange Aguilera, Vinicius Lucas e Ivan Neves, Ana Cristina Teixeira e Guilherme Viana C. Amorim. Habilidades profissionais, iniciativas para o seu desenvolvimento e adaptabilidade estarão em pauta! Inscreva-se gratuitamente e saiba como transformar a sua carreira no mundo tech: https://lnkd.in/dbSfGHF'",Técnico,TDC,Eventos Externo,91,8,0,,linkedin
19,ciandt,,2020-12-19,"No dia 4 de dezembro encerraremos o TDC Porto Alegre com conteúdos de impacto em nossa sala exclusiva. Tiago, Gisely, Cledson e Marostegam serão nossos palestrantes e trarão nossos aprendizados com times ágeis, acessibilidade digital e cases exclusivos. Faça parte desse universo! Inscreva-se gratuitamente: https://lnkd.in/dbSfGHF'",Técnico,TDC,Eventos Externo,57,0,0,,linkedin
20,ciandt,,2020-12-19,"Agir a favor da valorização humana, contribuir para um ambiente diverso e seguro e construir coletivamente, são algumas das características que compõem as profissões do futuro. Cada pessoa precisa estar preparada para liderar sua própria jornada e agir em cenários de constante mudança. Em nosso ebook, traduzimos esses e outros conceitos que vão te ajudar a refletir e se tornar protagonista da sua carreira. Acesse: https://midi.as/pb83#carreira #protagonismo'",Employer Branding,carreira,Ebook,86,0,0,"#carreira, #protagonismo'",linkedin
21,ciandt,,2021-01-18,"""Watch the latest video from our Leader Insight Series, featuring Coca-Cola's Adriana Knackfuss and CI&T's Fernando Ostanelli. The discussion focuses on how organizations can build better customer experiences in a post-pandemic world. Learn more: http://bit.ly/35FUsU0""",Négocio,Transformação Digital,Post,66,1,1733,,linkedin
22,ciandt,,2021-01-18,"Ao longo dos nossos 25 anos de história mergulhados nas áreas de Lean, Tecnologia, Design e Negócios, construímos e combinamos diversas ferramentas e metodologias capazes de criar histórias ricas, desafiadoras e poderosas em curtos períodos de tempo. Por acreditarmos no poder transformador dessas experiências, chegou a hora de compartilhar nossos conhecimentos. Confira a nossa primeira Masterclass Transformation Stack: com seis horas de conteúdo, dividida em três módulos e ministrada por sete experts da CI&T, você vai desbloquear seu potencial de negócios em áreas como Business Strategy, Discovery e Operational Experience. Saiba mais em: https://lnkd.in/dZWPvRe#masterclass #leandigital #transformacaodigital'",Négocio,Masterclass Transformation Stack,Vídeo,153,12,3511,"#masterclass, #leandigital, #transformacaodigital'",linkedin
23,ciandt,,2021-01-18,"Iniciada em 2020, a Comunidade Ágil da CI&T tem a missão de conectar internamente nossas pessoas e ser um ambiente para compartilhar conhecimentos e experiências. Com 500 participantes em menos de um ano, o grupo já realizou mais de 20 encontros, com temas sobre comunicação, produtos, metodologias, apresentação de cases de sucesso, entre outros. Essa troca é super importante para a construção coletiva, aprendizagem contínua e o aprimoramento de habilidades para concretizarmos o nosso propósito: impactar vidas e fazer um amanhã ainda melhor. Confira nossas oportunidades e faça parte dessa comunidade: https://lnkd.in/dKiyE5x#weareciandt #vempraciandt #vagas'",Técnico,Vaga,Post,212,9,0,"#weareciandt, #vempraciandt, #vagas'",linkedin
24,ciandt,,2021-01-18,"As empresas que conseguiram avançar em um mundo paralisado pela pandemia, foram aquelas que apostaram na transformação digital. Acesse o link e descubra detalhes de como o YDUQS e dois outros negócios revolucionaram seus processos e obtiveram sucesso em 2020.#transformacaodigital #inovacao'",Négocio,Transformação Digital,Post,104,1,0,"#transformacaodigital, #inovacao'",linkedin
25,ciandt,,2021-01-18,"Quais são os novos desafios que a Coca-Cola Company está enfrentando nesse ""novo normal""? Em uma conversa leve e cheia de insights, a Sr. Global Marketing da companhia, Adriana Knackfuss, e nosso CSO, Bob Wollheim, falam sobre o tema, trazendo aprendizados do presente e tendências para o futuro sob a perspectiva dos consumidores e a transformação de seus hábitos. Ouça nosso podcast em inglês: #tendências #consumidores #customer'",Négocio,Transformação Digital,Podcast,87,0,3470,"#tendências, #consumidores, #customer'",linkedin
26,ciandt,,2020-12-19,"A otimização na jornada de compra que você faz hoje, vai certificar que pessoas como a Heidi recebam seus produtos adquiridos on-line em uma hora, proporcionando a agilidade que ela precisa para fazer o que realmente importa. Junte-se a nós para desenvolver experiências ainda melhores amanhã. #MakeTheirTomorrow'",Employer Branding,Vagas,Post,94,0,1461,#MakeTheirTomorrow',linkedin
27,ciandt,,2020-12-19,"Pensar na sustentabilidade hoje dá a oportunidade de negócios prosperarem amanhã, além de possibilitar o início de uma nova família, como a do Ernesto. Junte-se a nós para transformar a vida dos empreendedores do futuro. #MakeTheirTomorrow'",Employer Branding,Vagas,Post,83,0,1335,#MakeTheirTomorrow',linkedin
28,ciandt,,2020-10-20,"As inscrições para o Afrodev já começaram! A CI&T, em parceria com a Share RH, promovem o programa que capacita e qualifica pessoas pretas para oportunidades na área de tecnologia. A inovação e a transformação só acontecem em ambientes diversos de trabalho, onde pessoas de diferentes origens, contextos e experiências compartilham e potencializam suas ideias. Quer fazer parte desse movimento? Inscreva-se gratuitamente: https://lnkd.in/evbbXdr'",Employer Branding,Divrsidade,Post,80,5,0,,linkedin
29,ciandt,,2020-12-19,"Assista à nossa participação na HSM Expo na íntegra e entenda, nas palavras do Clayton Palandrani, Head de IT & Operations da Mitsui Sumitomo Seguros, porque “Agilidade nas mudanças é um fator essencial para se manter competitivo”: https://lnkd.in/dhBBtUf'",Négocio,Agilidade,Eventos Externo,33,0,1678,,linkedin
30,ciandt,,2020-12-19,Construa hoje os caminhos necessários para dar a liberdade que as pessoas como a Marta precisam para desbloquear os seus sonhos. Junte-se a nós e provoque o impacto nas vidas do amanhã. #MakeTheirTomorrow',Employer Branding,Vagas,Post,107,0,1459,#MakeTheirTomorrow',linkedin
31,ciandt,,2020-12-19,"Quando você escolhe hoje, fazer um amanhã ainda melhor, esse é o resultado: dá a pessoas como Bill o tempo que elas precisam para fazer o que mais amam. Junte-se a nós para impactar vidas e construir o futuro. #MakeTheirTomorrow'",Employer Branding,Vagas,Post,178,3,3188,#MakeTheirTomorrow',linkedin
32,ciandt,,2020-12-19,"Para o Bradesco, além de cautela, é preciso coragem. De acordo com Edilson dos Reis, Diretor de TI, essa é uma equação difícil. Assista à nossa participação na HSM Expo para entender como a coragem para fazer diferente trouxe diversos aprendizados para a jornada de transformação lean digital de um dos bancos mais relevantes do mundo: https://lnkd.in/dEG2aZN#leandigital #transformacaodigital #case'",Négocio,Transformação Digital,Vídeo,111,0,1790,"#leandigital, #transformacaodigital, #case'",linkedin
33,ciandt,,2020-12-19,"O que Sir Martin Sorrell, fundador da WPP, pensa sobre a nova realidade pós-Covid? Como a transformação digital chegou para o maior grupo de publicidade e relações públicas do mundo? Isso é o que você vai saber no nosso novo podcast, no qual nosso CSO, Bob Wollheim, conversa com Sir Martin sobre esses temas, nova liderança, novos modelos de trabalho e muito mais. Ouça o podcast em inglês: https://lnkd.in/dgJTi8b#podcast #digitaltransformation #transformacaodigital'",Négocio,Transformação Digital,Podcast,59,0,1196,"#podcast, #digitaltransformation, #transformacaodigital'",linkedin
34,ciandt,,2020-12-19,"Para Alexandre Putini, diretor de Digital Transformation na SulAmérica, independente do mercado ou do lugar, ter a atenção voltada às pessoas e usar a tecnologia a favor disso é a chave para a transformação. Confira, na íntegra, nossa participação na HSM Expo e veja como estamos juntos Inovando e digitalizando o acesso à saúde integral: https://lnkd.in/d85Hnin#digitaltransformation #transformacaodigital #case'",Négocio,Transformação Digital,Vídeo,44,0,761,"#digitaltransformation, #transformacaodigital, #case'",linkedin
35,ciandt,,2020-12-19,"Segundo Eduardo Vasconcelos, CIO e CPO na ConectCar Mobilidade Eletrônica S.A, a “Transformação Digital alavancou o negócio”. Confira, no vídeo abaixo, nossa participação na HSM Expo e descubra porque esse foi um fator determinante para a companhia sair de uma estrutura ‘comando e controle’, para um estado de empoderamento dos times e das pessoas. #digitaltransformation #transformacaodigital #case'",Négocio,Transformação Digital,Vídeo,97,0,1551,"#digitaltransformation, #transformacaodigital, #case'",linkedin
36,ciandt,,2020-12-19,"Em nossa participação na HSM Expo, contamos com a presença de Cristovam Ferrara, Diretor Nacional de Vendas da Ânima Educação. Ele contou que “com estruturas eficientes de dados, o aluno está no centro de todas as discussões da Ânima, em todos os níveis”. Assista o vídeo na íntegra e saiba como o uso de dados tem acelerado oportunidades de negócio na empresa: https://lnkd.in/dJ6jphm'",Négocio,Dados,Vídeo,85,0,1692,,linkedin
37,ciandt,,2020-12-19,"Transformar o mundo é um desafio que começa por você. Por isso, valorizamos e acreditamos no poder de mudança de cada pessoa para atingirmos o nosso propósito: impactar vidas, desbloquear sonhos e construir um amanhã ainda melhor. Seja agente dessa transformação e junte-se a nós. #MakeTheirTomorrow #weareciandt'",Employer Branding,Vagas,Post,257,2,4670,"#MakeTheirTomorrow, #weareciandt'",linkedin
38,ciandt,,2020-12-19,"Como resultado de uma parceria de longa data na jornada de transformação Lean Digital do Bradesco, estamos no ecossistema de inovação e empreendedorismo do Bradesco, o inovabra habitat. Nosso propósito é promover um trabalho de parceria e cocriação com grandes marcas globais e também com empresas jovens e inovadoras que habitam o ambiente de coinovação do Bradesco. Quer saber mais? Acesse aqui: https://lnkd.in/dtHDrbc#inovacao #transformacaodigital'",Négocio,Transformação Digital,Case,340,2,0,"#inovacao, #transformacaodigital'",linkedin
39,ciandt,,2020-11-19,"""How did Itaú Unibanco moved so quickly on its digital transformation journey? Find out by watching our keynote panel presented at Fintech South, with Itaú Unibanco CIO, Ricardo Guerra, our CEO, Cesar Gon, and Ernst & Young's Americas Payments Leader, Rodrigo Dantas Filho. https://lnkd.in/dz-zbKR""",Négocio,Transformação Digital,Case,213,3,4396,,linkedin
40,ciandt,,2020-11-19,"Em uma conversa entre a Gerente do Instituto Avon, Mafoane Odara, e a nossa VP Partner, Solange Sobral, no CI&T Talks, falamos sobre o profundo valor de abraçar a diversidade e a inclusão para desenvolver ambientes mais seguros, criativos, inovadores. Assista: https://midi.as/Z673'",Négocio,Transformação Digital,Vídeo,77,0,1333,,linkedin
41,ciandt,,2020-11-19,"Assista na íntegra esse episódio do CI&T Talks, onde o autor Joseph Teperman explica o conceito de anticarreira e porque uma carreira não deve ser um caminho linear e estreito: https://midi.as/Z673'",Employer Branding,Carreira,Vídeo,52,0,1083,,linkedin
42,ciandt,,2020-11-19,Assista a edição (em inglês) do CI&T Talks com o renomado autor britânico Dr. Julian Birkinshaw sobre lideranças para os novos tempos e a Adhocracia como principal sistema de gestão das companhias do futuro. https://midi.as/Z673',Négocio,Liderança,Vídeo,46,0,1579,,linkedin
43,ciandt,,2020-11-19,"O profundo valor de abraçar a diversidade e a inclusão para desenvolver ambientes mais seguros, criativos, inovadores e estimulantes nas companhias e a busca pela real equidade são os temas da conversa entre a Gerente do Instituto Avon, Mafoane Odara, e a nossa VP Partner, Solange Sobral, no CI&T Talks. Assista e mude o seu olhar na direção do futuro: https://midi.as/Z673'",Employer Branding,Diversidade,Vídeo,133,2,1473,,linkedin
44,ciandt,,2020-11-19,"Comunicação não-violenta para ajudar a construir relações mais saudáveis e times mais colaborativos no ambiente de trabalho é o tema do nosso CI&T Talks. Assista a reflexão sobre o assunto com a fundadora do podcast Mamilos, Juliana Wallauer, e saiba como absorver esse novo modo de pensar e atuar. https://midi.as/Z673'",Employer Branding,Comunicação Não violenta,Podcast,186,6,2538,,linkedin
46,ciandt,,2020-11-19,"Nesse episódio do CI&T Talks, o autor Joseph Teperman explica o conceito de anticarreira e porque a trajetória profissional não pode ser apenas um caminho estreito e cheio de obstáculos inalcançáveis. Assista na íntegra. https://midi.as/Z673'",Employer Branding,anti carreira,Vídeo,60,2,1103,,linkedin
47,ciandt,,2020-11-19,"Confira na íntegra a conversa com o fundador da Squadra Ventures e board member no Banco Original e Totvs, Guga Stocco, para o CI&T Talks, sobre as transformações e a disrupção no modelo de trabalho durante e após a pandemia de Covid-19: https://midi.as/Z673'",Négocio,Transformação Digital,Vídeo,83,0,1376,,linkedin
48,ciandt,,2020-11-19,"Nesta edição em inglês do CI&T Talks, o renomado autor Julian Birkinshaw fala sobre lideranças para os novos tempos, e traz a Adhocracia como sistema de gestão das companhias do futuro. Assista: https://midi.as/Z673'",Employer Branding,Liderança,Vídeo,67,0,1217,,linkedin
50,ciandt,,2020-12-19,"Em um mundo marcado pela pandemia, a transformação digital que ocorreria dentro das empresas em anos, aconteceu em poucos meses. Elas tiveram que se adaptar a um novo mercado, agora pensando genuinamente em pessoas, sejam elas consumidoras ou colaboradoras. Conheça três grandes empresas que revolucionaram seus negócios em 2020: #transformacaodigital'",Négocio,Transformação Digital,Vídeo,136,1,0,#transformacaodigital',linkedin
51,ciandt,,2020-11-19,"A primeira edição do CI&T Talks faz parte da iniciativa People Ready, abordando temas voltados a pessoas, carreira, diversidade e liderança. Confira na íntegra a conversa com o fundador da Squadra Ventures e board member no Banco Original e Totvs, Guga Stocco, sobre as transformações e a disrupção no modelo de trabalho durante e após a pandemia de Covid-19: https://midi.as/Z673#peopleready #trabalho #transformaçõesdigitais #modelosdetrabalho'",Employer Branding,Carreira,Vídeo,63,0,1060,"#peopleready, #trabalho, #transformaçõesdigitais, #modelosdetrabalho'",linkedin
52,ciandt,,2020-10-20,"Convidamos nossas pessoas para contar como foi participar da iniciativa de contratação em parceria com a ONG Laboratoria, que promove a formação de mulheres na tecnologia para a construção de ambientes mais diversos e inclusivos.#weareciandt'",Employer Branding,Diversidade,Vídeo,137,9,3350,#weareciandt',linkedin
53,ciandt,,2021-01-18,"Para ter uma auditoria ágil, é preciso realizar a transformação digital da sua empresa também nessa área, conciliando princípios e ferramentas das metodologias Lean e Agile. No artigo de nossa Process Analyst, Ana Carolina Altimari Cardoso, saiba mais sobre práticas e processos que imprimem mais precisão nas análises e mais velocidade na entrega de relatórios claros e enxutos. Leia: https://lnkd.in/dw48xNH#auditoria #transformacaodigital'",Négocio,Ágil,Post,94,1,0,"#auditoria, #transformacaodigital'",linkedin
54,ciandt,,2020-10-20,"Em 25 anos de trajetória, cada uma de nossas pessoas foi responsável pela construção das histórias e do nosso poder transformador que impacta o mundo. Nossas pessoas nos permitem ir mais longe, construir sonhos e são também a inspiração para sermos cada vez melhor. Hoje, por elas e para elas, atingimos uma nova conquista: somos um Great Place to Work pela 14ª vez consecutiva!#weareciandt'",Employer Branding,GPTW,Post,368,8,10702,#weareciandt',linkedin
60,ciandt,,2020-10-20,"Nosso CEO, Cesar Gon, em participação especial no Cielo Digitalks conversa com Danilo Zimmermann, Head de Tecnologia e Projetos, sobre a importância da transformação digital e como reagir às mudanças.'",Négocio,Transformação Digital,Eventos Interno,103,0,1591,,linkedin
65,ciandt,,2020-12-19,"A forma como nos comportamos, nos relacionamos e os papéis que assumimos em situações de conflito determinam os limites do nosso crescimento pessoal e profissional. Aprenda a romper padrões e expanda sua capacidade de evolução no novo artigo do nosso Head of Emotional Safety & Leadership Development, Marlon Silva.#tiposdemindset #triângulododrama #desenvolvimentoprofissional'",Employer Branding,Desenvolvimento profissional,Post,95,0,0,"#tiposdemindset, #triângulododrama, #desenvolvimentoprofissional'",linkedin
66,ciandt,,2020-12-19,"Atrair e reter talentos de tecnologia nunca foi tão difícil! Há grande oferta de vagas e escassez de profissionais qualificados e, neste cenário, as empresas travam uma acirrada competição pelos melhores da área. O momento é de colocar em ação um movimento estratégico de marca empregadora. Mas, especialmente em época de pandemia, como se posicionar? Saiba no artigo do nosso Employer Brand Analyst, Daniel Marcos: #EmployerBranding #EVP'",Employer Branding,Desenvolvimento profissional,Post,163,5,0,"#EmployerBranding, #EVP'",linkedin
78,ciandt,,2020-12-19,"Junte-se a nós hoje, às 14h20, no Digitalks Global Summit, onde nosso CSO, Bob Wollheim, vai falar sobre como ser criativo trabalhando de casa (palestra em inglês). Saiba mais em: https://digitalks.pt/expo/'",Employer Branding,home office,Eventos Externo,42,0,0,,linkedin
84,ciandt,,2020-11-19,"""O momento atual nos impõe uma série de desafios. Mas, ao mesmo tempo que superamos obstáculos que estão além do nosso controle, nos deparamos com um quadro cheio de oportunidades. Essa semana, conversamos com a EXAME sobre como estamos, com espírito Rock n' Roll, alcançando grandes mercados e o faturamento de 1 bilhão de reais, quase 40% mais do que em 2019. Leia aqui:""",Crescimento,crescimento,Post,689,9,0,,linkedin
91,ciandt,,2020-10-20,"Neste momento em que o mercado digital exige resultados imediatos, profissionais e companhias precisam de menos planejamento e mais ação. “Aprenda fazendo” para criar estratégias efetivas e entregar respostas rápidas. #aprenderfazendo #learnbydoing #agilidadedigital'",Négocio,agilidade,Post,80,0,0,"#aprenderfazendo, #learnbydoing, #agilidadedigital'",linkedin
93,ciandt,,2020-10-20,"Nesse episódio do CI&T Podcast, Silvio Meira, board member da CI&T, conversa com Cesar Gon, nosso CEO, e Carlos Alberto de Sousa, Membro do Corporate Hackers, sobre como as empresas podem aproveitar os espaços empreendedores que surgiram diante da aceleração do futuro e reorientar seus negócios.'",Négocio,acelerar,Podcast,53,0,0,,linkedin
97,ciandt,,2020-10-20,"Transformação, agilidade, impacto e protagonismo são palavras de ordem para as carreiras na era digital. Entenda qual é o seu papel na construção da sua evolução profissional.#mindsetdeprotagonismo #eradigital #desenvolvimento'",Employer Branding,carreira,Post,73,1,0,"#mindsetdeprotagonismo, #eradigital, #desenvolvimento'",linkedin
100,ciandt,,2020-12-19,"No dia 9 de dezembro, Paulo Roberto, CDO e Renata Mello Feltrin, Head of Innovation Strategy e Digital Transformation ambos da CI&T, estarão juntos com Larissa Frias, Head do DataLab na Nestlé e Rúbia Steiner, Head of Digital Channels no Bradesco em um painel sobre como gigantes conseguem gerar impacto de negócio. Inscreva-se gratuitamente em: https://midi.as/Xj83'",Négocio,transformação digital,Eventos Externo,64,0,0,,linkedin
102,ciandt,,2020-12-19,"No dia 5 de dezembro acontece o TEDxCampinas, evento que tem como propósito a promoção de ideias que merecem ser compartilhadas e que possuem um elevado poder de transformação. Sob uma nova perspectiva, a edição vai apresentar um filme com 10 ideias de grande potencial de impacto positivo. Como parceiros da iniciativa, te convidamos a participar para conhecer os protagonistas das histórias do amanhã. Inscreva-se gratuitamente em: https://lnkd.in/dFsmwYr'",Négocio,próposito,Post,145,3,0,,linkedin
109,ciandt,,2020-10-20,"Para alavancar sua carreira de desenvolvimento para liderança técnica em arquitetura de sistemas, você precisará aprender diversas novas habilidades, como estimular e inspirar colegas em busca do melhor e liderar de uma forma empática e colaborativa. Veja algumas dicas para desenvolver e equilibrar seus lados técnico e líder no artigo de nosso Systems Architect & Disciplined Agilist, Adriano Tavares. #liderança #desenvolvedor #arquitetodesistemas #evoluçãodecarreira'",Employer Branding,carreira,Post,80,2,0,"#liderança, #desenvolvedor, #arquitetodesistemas, #evoluçãodecarreira'",linkedin
116,ciandt,,2020-11-19,"Nesta quarta (25) acontece mais um Meetup Connect com a Comunidade Cultura Ágil. João Paulo Montanheiro, Squad Leader da CI&T, fala sobre a sua mudança no estilo de liderança no talk: ""Liderança Lean: como deixar no passado o comando e controle"". Inscreva-se gratuitamente! https://lnkd.in/dPqT3Kr'",Négocio,ágil,Eventos Externo,69,1,0,,linkedin
