id,company,post_date,post_text,post_likes,post_comments,assunto,,,
23,ciandt,2021-01-18,"Iniciada em 2020, a Comunidade Ágil da CI&T tem a missão de conectar internamente nossas pessoas e ser um ambiente para compartilhar conhecimentos e experiências. Com 500 participantes em menos de um ano, o grupo já realizou mais de 20 encontros, com temas sobre comunicação, produtos, metodologias, apresentação de cases de sucesso, entre outros. Essa troca é super importante para a construção coletiva, aprendizagem contínua e o aprimoramento de habilidades para concretizarmos o nosso propósito: impactar vidas e fazer um amanhã ainda melhor. Confira nossas oportunidades e faça parte dessa comunidade: https://lnkd.in/dKiyE5x#weareciandt #vempraciandt #vagas'",212,9,Vagas,,,
24,ciandt,2021-01-18,"As empresas que conseguiram avançar em um mundo paralisado pela pandemia, foram aquelas que apostaram na transformação digital. Acesse o link e descubra detalhes de como o YDUQS e dois outros negócios revolucionaram seus processos e obtiveram sucesso em 2020.#transformacaodigital #inovacao'",104,1,Transformação Digital,,,
25,ciandt,2021-01-18,"Quais são os novos desafios que a Coca-Cola Company está enfrentando nesse ""novo normal""? Em uma conversa leve e cheia de insights, a Sr. Global Marketing da companhia, Adriana Knackfuss, e nosso CSO, Bob Wollheim, falam sobre o tema, trazendo aprendizados do presente e tendências para o futuro sob a perspectiva dos consumidores e a transformação de seus hábitos. Ouça nosso podcast em inglês: #tendências #consumidores #customer'",87,0,Transformação Digital,,,
26,ciandt,2020-12-19,"A otimização na jornada de compra que você faz hoje, vai certificar que pessoas como a Heidi recebam seus produtos adquiridos on-line em uma hora, proporcionando a agilidade que ela precisa para fazer o que realmente importa. Junte-se a nós para desenvolver experiências ainda melhores amanhã. #MakeTheirTomorrow'",94,0,Vagas,,,
27,ciandt,2020-12-19,"Pensar na sustentabilidade hoje dá a oportunidade de negócios prosperarem amanhã, além de possibilitar o início de uma nova família, como a do Ernesto. Junte-se a nós para transformar a vida dos empreendedores do futuro. #MakeTheirTomorrow'",83,0,Vagas,,,
28,ciandt,2020-10-20,"As inscrições para o Afrodev já começaram! A CI&T, em parceria com a Share RH, promovem o programa que capacita e qualifica pessoas pretas para oportunidades na área de tecnologia. A inovação e a transformação só acontecem em ambientes diversos de trabalho, onde pessoas de diferentes origens, contextos e experiências compartilham e potencializam suas ideias. Quer fazer parte desse movimento? Inscreva-se gratuitamente: https://lnkd.in/evbbXdr'",80,5,Diversidade,,,
29,ciandt,2020-12-19,"Assista à nossa participação na HSM Expo na íntegra e entenda, nas palavras do Clayton Palandrani, Head de IT & Operations da Mitsui Sumitomo Seguros, porque “Agilidade nas mudanças é um fator essencial para se manter competitivo”: https://lnkd.in/dhBBtUf'",33,0,Conteúdo Técnico,,,
30,ciandt,2020-12-19,Construa hoje os caminhos necessários para dar a liberdade que as pessoas como a Marta precisam para desbloquear os seus sonhos. Junte-se a nós e provoque o impacto nas vidas do amanhã. #MakeTheirTomorrow',107,0,Vagas,,,
31,ciandt,2020-12-19,"Quando você escolhe hoje, fazer um amanhã ainda melhor, esse é o resultado: dá a pessoas como Bill o tempo que elas precisam para fazer o que mais amam. Junte-se a nós para impactar vidas e construir o futuro. #MakeTheirTomorrow'",178,3,Vagas,,,
32,ciandt,2020-12-19,"Para o Bradesco, além de cautela, é preciso coragem. De acordo com Edilson dos Reis, Diretor de TI, essa é uma equação difícil. Assista à nossa participação na HSM Expo para entender como a coragem para fazer diferente trouxe diversos aprendizados para a jornada de transformação lean digital de um dos bancos mais relevantes do mundo: https://lnkd.in/dEG2aZN#leandigital #transformacaodigital #case'",111,0,Transformação Digital,,,
33,ciandt,2020-12-19,"O que Sir Martin Sorrell, fundador da WPP, pensa sobre a nova realidade pós-Covid? Como a transformação digital chegou para o maior grupo de publicidade e relações públicas do mundo? Isso é o que você vai saber no nosso novo podcast, no qual nosso CSO, Bob Wollheim, conversa com Sir Martin sobre esses temas, nova liderança, novos modelos de trabalho e muito mais. Ouça o podcast em inglês: https://lnkd.in/dgJTi8b#podcast #digitaltransformation #transformacaodigital'",59,0,Transformação Digital,,,
34,ciandt,2020-12-19,"Para Alexandre Putini, diretor de Digital Transformation na SulAmérica, independente do mercado ou do lugar, ter a atenção voltada às pessoas e usar a tecnologia a favor disso é a chave para a transformação. Confira, na íntegra, nossa participação na HSM Expo e veja como estamos juntos Inovando e digitalizando o acesso à saúde integral: https://lnkd.in/d85Hnin#digitaltransformation #transformacaodigital #case'",44,0,Transformação Digital,,,
35,ciandt,2020-12-19,"Segundo Eduardo Vasconcelos, CIO e CPO na ConectCar Mobilidade Eletrônica S.A, a “Transformação Digital alavancou o negócio”. Confira, no vídeo abaixo, nossa participação na HSM Expo e descubra porque esse foi um fator determinante para a companhia sair de uma estrutura ‘comando e controle’, para um estado de empoderamento dos times e das pessoas. #digitaltransformation #transformacaodigital #case'",97,0,Transformação Digital,,,
36,ciandt,2020-12-19,"Em nossa participação na HSM Expo, contamos com a presença de Cristovam Ferrara, Diretor Nacional de Vendas da Ânima Educação. Ele contou que “com estruturas eficientes de dados, o aluno está no centro de todas as discussões da Ânima, em todos os níveis”. Assista o vídeo na íntegra e saiba como o uso de dados tem acelerado oportunidades de negócio na empresa: https://lnkd.in/dJ6jphm'",85,0,Dados,,,
37,ciandt,2020-12-19,"Transformar o mundo é um desafio que começa por você. Por isso, valorizamos e acreditamos no poder de mudança de cada pessoa para atingirmos o nosso propósito: impactar vidas, desbloquear sonhos e construir um amanhã ainda melhor. Seja agente dessa transformação e junte-se a nós. #MakeTheirTomorrow #weareciandt'",257,2,Vagas,,,
38,ciandt,2020-12-19,"Como resultado de uma parceria de longa data na jornada de transformação Lean Digital do Bradesco, estamos no ecossistema de inovação e empreendedorismo do Bradesco, o inovabra habitat. Nosso propósito é promover um trabalho de parceria e cocriação com grandes marcas globais e também com empresas jovens e inovadoras que habitam o ambiente de coinovação do Bradesco. Quer saber mais? Acesse aqui: https://lnkd.in/dtHDrbc#inovacao #transformacaodigital'",340,2,Transformação Digital,,,
39,ciandt,2020-11-19,"""How did Itaú Unibanco moved so quickly on its digital transformation journey? Find out by watching our keynote panel presented at Fintech South, with Itaú Unibanco CIO, Ricardo Guerra, our CEO, Cesar Gon, and Ernst & Young's Americas Payments Leader, Rodrigo Dantas Filho. https://lnkd.in/dz-zbKR""",213,3,Marca,,,
40,ciandt,2020-11-19,"Em uma conversa entre a Gerente do Instituto Avon, Mafoane Odara, e a nossa VP Partner, Solange Sobral, no CI&T Talks, falamos sobre o profundo valor de abraçar a diversidade e a inclusão para desenvolver ambientes mais seguros, criativos, inovadores. Assista: https://midi.as/Z673'",77,0,Transformação Digital,,,
41,ciandt,2020-11-19,"Assista na íntegra esse episódio do CI&T Talks, onde o autor Joseph Teperman explica o conceito de anticarreira e porque uma carreira não deve ser um caminho linear e estreito: https://midi.as/Z673'",52,0,Carreira,,,
42,ciandt,2020-11-19,Assista a edição (em inglês) do CI&T Talks com o renomado autor britânico Dr. Julian Birkinshaw sobre lideranças para os novos tempos e a Adhocracia como principal sistema de gestão das companhias do futuro. https://midi.as/Z673',46,0,Transformação Digital,,,
43,ciandt,2020-11-19,"O profundo valor de abraçar a diversidade e a inclusão para desenvolver ambientes mais seguros, criativos, inovadores e estimulantes nas companhias e a busca pela real equidade são os temas da conversa entre a Gerente do Instituto Avon, Mafoane Odara, e a nossa VP Partner, Solange Sobral, no CI&T Talks. Assista e mude o seu olhar na direção do futuro: https://midi.as/Z673'",133,2,Diversidade,,,
44,ciandt,2020-11-19,"Comunicação não-violenta para ajudar a construir relações mais saudáveis e times mais colaborativos no ambiente de trabalho é o tema do nosso CI&T Talks. Assista a reflexão sobre o assunto com a fundadora do podcast Mamilos, Juliana Wallauer, e saiba como absorver esse novo modo de pensar e atuar. https://midi.as/Z673'",186,6,Marca,,,
46,ciandt,2020-11-19,"Nesse episódio do CI&T Talks, o autor Joseph Teperman explica o conceito de anticarreira e porque a trajetória profissional não pode ser apenas um caminho estreito e cheio de obstáculos inalcançáveis. Assista na íntegra. https://midi.as/Z673'",60,2,Carreira,,,
47,ciandt,2020-11-19,"Confira na íntegra a conversa com o fundador da Squadra Ventures e board member no Banco Original e Totvs, Guga Stocco, para o CI&T Talks, sobre as transformações e a disrupção no modelo de trabalho durante e após a pandemia de Covid-19: https://midi.as/Z673'",83,0,Transformação Digital,,,
48,ciandt,2020-11-19,"Nesta edição em inglês do CI&T Talks, o renomado autor Julian Birkinshaw fala sobre lideranças para os novos tempos, e traz a Adhocracia como sistema de gestão das companhias do futuro. Assista: https://midi.as/Z673'",67,0,Transformação Digital,,,
50,ciandt,2020-12-19,"Em um mundo marcado pela pandemia, a transformação digital que ocorreria dentro das empresas em anos, aconteceu em poucos meses. Elas tiveram que se adaptar a um novo mercado, agora pensando genuinamente em pessoas, sejam elas consumidoras ou colaboradoras. Conheça três grandes empresas que revolucionaram seus negócios em 2020: #transformacaodigital'",136,1,Transformação Digital,,,
51,ciandt,2020-11-19,"A primeira edição do CI&T Talks faz parte da iniciativa People Ready, abordando temas voltados a pessoas, carreira, diversidade e liderança. Confira na íntegra a conversa com o fundador da Squadra Ventures e board member no Banco Original e Totvs, Guga Stocco, sobre as transformações e a disrupção no modelo de trabalho durante e após a pandemia de Covid-19: https://midi.as/Z673#peopleready #trabalho #transformaçõesdigitais #modelosdetrabalho'",63,0,Transformação Digital,,,
52,ciandt,2020-10-20,"Convidamos nossas pessoas para contar como foi participar da iniciativa de contratação em parceria com a ONG Laboratoria, que promove a formação de mulheres na tecnologia para a construção de ambientes mais diversos e inclusivos.#weareciandt'",137,9,Diversidade,,,
53,ciandt,2021-01-18,"Para ter uma auditoria ágil, é preciso realizar a transformação digital da sua empresa também nessa área, conciliando princípios e ferramentas das metodologias Lean e Agile. No artigo de nossa Process Analyst, Ana Carolina Altimari Cardoso, saiba mais sobre práticas e processos que imprimem mais precisão nas análises e mais velocidade na entrega de relatórios claros e enxutos. Leia: https://lnkd.in/dw48xNH#auditoria #transformacaodigital'",94,1,Conteúdo Técnico,,,
54,ciandt,2020-10-20,"Em 25 anos de trajetória, cada uma de nossas pessoas foi responsável pela construção das histórias e do nosso poder transformador que impacta o mundo. Nossas pessoas nos permitem ir mais longe, construir sonhos e são também a inspiração para sermos cada vez melhor. Hoje, por elas e para elas, atingimos uma nova conquista: somos um Great Place to Work pela 14ª vez consecutiva!#weareciandt'",368,8,Vagas,,,
60,ciandt,2020-10-20,"Nosso CEO, Cesar Gon, em participação especial no Cielo Digitalks conversa com Danilo Zimmermann, Head de Tecnologia e Projetos, sobre a importância da transformação digital e como reagir às mudanças.'",103,0,Transformação Digital,,,
65,ciandt,2020-12-19,"A forma como nos comportamos, nos relacionamos e os papéis que assumimos em situações de conflito determinam os limites do nosso crescimento pessoal e profissional. Aprenda a romper padrões e expanda sua capacidade de evolução no novo artigo do nosso Head of Emotional Safety & Leadership Development, Marlon Silva.#tiposdemindset #triângulododrama #desenvolvimentoprofissional'",95,0,Conteúdo Técnico,,,
66,ciandt,2020-12-19,"Atrair e reter talentos de tecnologia nunca foi tão difícil! Há grande oferta de vagas e escassez de profissionais qualificados e, neste cenário, as empresas travam uma acirrada competição pelos melhores da área. O momento é de colocar em ação um movimento estratégico de marca empregadora. Mas, especialmente em época de pandemia, como se posicionar? Saiba no artigo do nosso Employer Brand Analyst, Daniel Marcos: #EmployerBranding #EVP'",163,5,Carreira,,,
78,ciandt,2020-12-19,"Junte-se a nós hoje, às 14h20, no Digitalks Global Summit, onde nosso CSO, Bob Wollheim, vai falar sobre como ser criativo trabalhando de casa (palestra em inglês). Saiba mais em: https://digitalks.pt/expo/'",42,0,Marca,,,
84,ciandt,2020-11-19,"""O momento atual nos impõe uma série de desafios. Mas, ao mesmo tempo que superamos obstáculos que estão além do nosso controle, nos deparamos com um quadro cheio de oportunidades. Essa semana, conversamos com a EXAME sobre como estamos, com espírito Rock n' Roll, alcançando grandes mercados e o faturamento de 1 bilhão de reais, quase 40% mais do que em 2019. Leia aqui:""",689,9,Dados,,,
91,ciandt,2020-10-20,"Neste momento em que o mercado digital exige resultados imediatos, profissionais e companhias precisam de menos planejamento e mais ação. “Aprenda fazendo” para criar estratégias efetivas e entregar respostas rápidas. #aprenderfazendo #learnbydoing #agilidadedigital'",80,0,Transformação Digital,,,
93,ciandt,2020-10-20,"Nesse episódio do CI&T Podcast, Silvio Meira, board member da CI&T, conversa com Cesar Gon, nosso CEO, e Carlos Alberto de Sousa, Membro do Corporate Hackers, sobre como as empresas podem aproveitar os espaços empreendedores que surgiram diante da aceleração do futuro e reorientar seus negócios.'",53,0,Transformação Digital,,,
97,ciandt,2020-10-20,"Transformação, agilidade, impacto e protagonismo são palavras de ordem para as carreiras na era digital. Entenda qual é o seu papel na construção da sua evolução profissional.#mindsetdeprotagonismo #eradigital #desenvolvimento'",73,1,Carreira,,,
100,ciandt,2020-12-19,"No dia 9 de dezembro, Paulo Roberto, CDO e Renata Mello Feltrin, Head of Innovation Strategy e Digital Transformation ambos da CI&T, estarão juntos com Larissa Frias, Head do DataLab na Nestlé e Rúbia Steiner, Head of Digital Channels no Bradesco em um painel sobre como gigantes conseguem gerar impacto de negócio. Inscreva-se gratuitamente em: https://midi.as/Xj83'",64,0,Transformação Digital,,,
102,ciandt,2020-12-19,"No dia 5 de dezembro acontece o TEDxCampinas, evento que tem como propósito a promoção de ideias que merecem ser compartilhadas e que possuem um elevado poder de transformação. Sob uma nova perspectiva, a edição vai apresentar um filme com 10 ideias de grande potencial de impacto positivo. Como parceiros da iniciativa, te convidamos a participar para conhecer os protagonistas das histórias do amanhã. Inscreva-se gratuitamente em: https://lnkd.in/dFsmwYr'",145,3,Marca,,,
109,ciandt,2020-10-20,"Para alavancar sua carreira de desenvolvimento para liderança técnica em arquitetura de sistemas, você precisará aprender diversas novas habilidades, como estimular e inspirar colegas em busca do melhor e liderar de uma forma empática e colaborativa. Veja algumas dicas para desenvolver e equilibrar seus lados técnico e líder no artigo de nosso Systems Architect & Disciplined Agilist, Adriano Tavares. #liderança #desenvolvedor #arquitetodesistemas #evoluçãodecarreira'",80,2,Conteúdo Técnico,,,
116,ciandt,2020-11-19,"Nesta quarta (25) acontece mais um Meetup Connect com a Comunidade Cultura Ágil. João Paulo Montanheiro, Squad Leader da CI&T, fala sobre a sua mudança no estilo de liderança no talk: ""Liderança Lean: como deixar no passado o comando e controle"". Inscreva-se gratuitamente! https://lnkd.in/dPqT3Kr'",69,1,Transformação Digital,,,
125,ciandt,2020-11-19,"Na próxima semana, na HSM Expo, daremos um importante passo para promover muita troca e conhecimento compartilhando os primeiros módulos do nosso Transformation Stack, um conjunto poderoso de ferramentas e metodologias capazes de impulsionar grandes impactos de negócio. Confira nossos painéis:09/11> Business strategy  • Strategic Mapping (com Rogerio Luis Hervatin)• Hoshin + A3 + OKRs (com Gílson Gueler Gaseorowski)10/11> Discovery  • Dinâmicas de design (com Mauro Radomile e Jeancarlo Cerasoli) • Gestão de produto (com Mauro Radomile e Luiz Reolon)11/11> Operational  Excellence • PDCA + Situation Wall + KPIS (com ⚡️Taís Assad Della Santina) • Entrega contínua e aprendizados (com Fábio Santina)Faça parte desse momento: inscreva-se nos painéis do seu interesse: https://lnkd.in/dHX77Ah'",176,2,Transformação Digital,,,
0,iteris-consultoria-e-software,2021-02-16,"Mas também não deixei para depois, afinal, você só tem mais 4 dias para se inscrever!O Hackathon Decola Iteris é uma experiência inovadora que abrirá as portas para o seu futuro. No Decola (período de formação de 10 semanas) você conhecerá as principais técnicas e desenvolverá seu lado comportamental. Em seguida você terá a oportunidade de atuar em clientes reais, vivendo o dia a dia da profissão de maneira supervisionada, assim, quando você se formar no programa, estará pronto para o mercado.Você não vai deixar essa oportunidade passar, né?https://lnkd.in/eq4_7ss#HackathonDecola #EstágioIteris #VemFazerAcontecer #Iteris'",29,0,Marca,,,
1,iteris-consultoria-e-software,2021-02-13,"No atual cenário mundial, onde o trabalho remoto tornou-se ainda mais comum, a atuação do Data Manager é essencial tanto para a segurança quanto para a estratégia das áreas de tecnologia.Acesse o link e conheça os 4 pontos principais de atuação do Data Manager https://lnkd.in/emnrN-B#RH #TI #transformacaodigital #CAP2AM #Iteris'",2,0,Transformação Digital,,,
2,iteris-consultoria-e-software,2021-02-11,"Então seu life style combina com o nosso!Mas além das chamadas “softs skills”, você também precisa cumprir alguns pré-requisitos. Olha só:· Estar cursando graduação ou técnico em tecnologia com conclusão prevista para Dez/2022 e Dez/2023.· Ter disponibilidade para estagiar de segunda à sexta, das 9h às 16h.· Ter bons conhecimentos em Lógica de Programação.Deu match? Então clique na imagem e faça sua inscrição!https://bit.ly/3r0NZet #HackathonDecola #EstágioIteris #VemFazerAcontecer #Iteris'",65,4,Segmentos de Mercado,,,
3,iteris-consultoria-e-software,2021-02-03,"A sinergia entre as áreas de RH e TI não está indo muito bem? Uma solução que integre os processos dessas áreas pode ser fundamental para sanar essas dificuldades.Para saber como superar os desafios para que TI e RH trabalhem juntos, acesse o artigo https://lnkd.in/eQ4tB47#recursoshumanos #TI #gerenciamento #integração #eficiencia #transformacaodigital #CAP2AM #Iteris #Gestaodeacessos'",36,0,Marca,,,
4,iteris-consultoria-e-software,2021-02-10,Ainda tem dúvidas da importância do profissional de Data Manager para a transformação digital da sua empresa?Então acesse o artigo https://lnkd.in/emnrN-B e saiba mais sobre o assunto!#Gestaodeacessos #AccessManagement #CAP2AM #Iteris',17,0,Conteúdo Técnico,,,
5,iteris-consultoria-e-software,2021-01-27,"A espera acabou! A edição Kepler do Hackathon Decola Iteris está on e você não vai deixar essa oportunidade passar, não é mesmo?Clique na imagem e faça sua inscrição.Na 7ª edição do Hackathon Decola, os(as) candidatos(as) selecionados(as) passarão por um treinamento online de 6 horas + 6 horas de monitoria para dúvidas. No dia 13/03 será realizado o Hackathon - maratona de programação para seleção dos 15 estagiários(as).https://lnkd.in/eq4_7ss#HackathonDecola #EstágioIteris #VemFazerAcontecer #Iteris'",118,3,Diversidade,,,
6,iteris-consultoria-e-software,2021-02-10,"A 7ª edição do Hackathon Decola Iteris vai funcionar assim:Os candidatos aprovados nos testes serão convidados para um treinamento online de 6 horas com mais 6 horas de monitoria para dúvidas.Depois, no dia 13/03, os participantes serão divididos em grupos e receberão o desafio de solucionar um problema comum do dia a dia dos Devs. Durante essa etapa, os candidatos serão avaliados por uma comissão técnica e comportamental.Na semana seguinte, entre os dias 15 e 19 de março, os aprovados serão divulgados.Para mais detalhes é só clicar na imagem!https://bit.ly/3r0NZet #HackathonDecola #EstágioIteris #VemFazerAcontecer #Iteris'",74,11,Marca,,,
